PMY,Replicate,Halo,Halo_in
PMY2649,2.0416666666666665,30.820458072222223,4.777180555555556
PMY2650,2.0,6.688158666666667,1.0366666666666666
PMY2556,1.5,21.40640880000001,3.3180000000000005
PMY2557,1.5,16.628999000000004,2.5775
PMY2558,1.5,7.051598800000001,1.093
PMY2559,1.5,4.3290236,0.671
PMY2560,1.5,3.8967664000000006,0.604
PMY2561,1.5,10.7644946,1.6684999999999999
PMY2562,1.5,3.403219,0.5275000000000001
PMY2563,1.5,25.7709162,3.9945
PMY2564,1.5,4.025798399999999,0.624
PMY2565,1.5,42.05475459999999,6.5184999999999995
PMY2566,1.5,11.422557800000002,1.7705000000000002
PMY2567,1.5,46.77087420000001,7.2495
PMY2568,1.5,43.757977000000004,6.782500000000001
PMY2569,1.5,4.3612816,0.676
PMY2570,1.5,49.241837,7.6325
PMY2571,1.5,47.7063562,7.3945
PMY2572,1.5,52.738604200000005,8.1745
PMY2573,1.5,45.248296599999996,7.0135
PMY2574,1.5,6.706438199999998,1.0395
PMY2575,1.5,30.345100600000002,4.7035
PMY2576,1.5,3.4451544000000003,0.534
PMY2577,1.5,4.483862,0.6950000000000001
PMY2578,1.5,39.10314759999999,6.061
PMY2579,1.5,15.361259600000002,2.381
PMY2580,1.5,9.3322394,1.4465
PMY2581,1.5,52.53537880000001,8.143
PMY2582,1.5,4.422571800000001,0.6855
PMY2583,1.5,45.73539240000001,7.089
PMY2584,1.5,50.548286000000004,7.835000000000001
PMY2585,1.5,40.632176799999996,6.298
PMY2586,1.5,52.3934436,8.121
PMY2587,1.5,48.945063399999995,7.586499999999999
PMY2588,1.5,46.69022920000001,7.237
PMY2589,1.5,5.851601199999999,0.907
PMY2590,1.5,4.2870882,0.6645
PMY2591,1.5,9.0515948,1.403
PMY2592,1.5,11.138687400000002,1.7265
PMY2593,1.5,37.40315100000001,5.797499999999999
PMY2594,1.5,36.98057120000001,5.732
PMY2595,1.5,1.8870929999999997,0.2925
PMY2596,1.5,25.193497999999998,3.905
PMY2597,1.5,52.99989399999999,8.215
PMY2598,1.5,51.3482844,7.959
PMY2599,1.5,12.5773942,1.9495
PMY2600,1.5,6.483858000000001,1.005
PMY2601,1.5,8.6677246,1.3435
PMY2602,1.5,5.16128,0.8
PMY2603,2.0,7.707511466666669,1.1946666666666668
PMY2604,2.0,15.339754266666668,2.377666666666667
PMY2605,2.0,41.46873426666667,6.427666666666667
PMY2606,2.0,8.486004533333334,1.3153333333333332
PMY2607,2.0,14.754809200000006,2.2870000000000004
PMY2608,2.0,35.4386388,5.493000000000001
PMY2609,2.0,5.402139733333333,0.8373333333333334
PMY2610,2.0,6.570954600000001,1.0185
PMY2611,2.0,18.161254,2.815
PMY2612,2.0,35.05584386666667,5.433666666666666
PMY2613,2.0,3.6709604000000002,0.569
PMY2614,2.0,38.120353866666655,5.908666666666666
PMY2615,2.0,15.5193238,2.4055
PMY2616,2.0,26.12898000000001,4.050000000000001
PMY2617,2.0,49.782696133333346,7.716333333333334
PMY2618,2.0,35.8321864,5.553999999999999
PMY2619,2.0,40.56335973333334,6.287333333333334
PMY2620,2.0,30.75477720000001,4.767
PMY2621,2.0,19.421466533333337,3.0103333333333335
