PMY,Replicate,Halo
PMY2670,1,7.943
PMY2670,2,7.143000000000001
PMY2670,3,6.336
PMY2671,1,4.837000000000001
PMY2671,2,8.091000000000001
PMY2671,3,7.447
PMY2672,1,3.882
PMY2672,2,2.855
PMY2672,3,4.0809999999999995
PMY2673,1,5.925
PMY2673,2,7.625
PMY2673,3,5.954000000000001
PMY2674,1,7.829
PMY2674,2,6.402
PMY2674,3,8.058
PMY2675,1,6.978
PMY2675,2,8.435
PMY2675,3,5.1850000000000005
PMY2676,1,1.707
PMY2676,2,1.647
PMY2676,3,1.094
PMY2677,1,0.8710000000000001
PMY2677,2,0.715
PMY2677,3,0.608
PMY2678,1,1.836
PMY2678,2,1.319
PMY2678,3,1.737
PMY2679,1,7.584
PMY2679,2,6.3629999999999995
PMY2679,3,8.081000000000001
PMY2680,1,6.091
PMY2680,2,4.756
PMY2680,3,3.8589999999999995
PMY2681,1,2.659
PMY2681,2,2.9959999999999996
PMY2681,3,2.633
PMY2682,1,5.798
PMY2682,2,3.544
PMY2682,3,6.003
PMY2683,1,0.9810000000000001
PMY2683,2,0.5680000000000001
PMY2683,3,0.724
PMY2684,1,4.428
PMY2684,2,5.853000000000001
PMY2684,3,7.659000000000001
PMY2685,1,1.8139999999999998
PMY2685,2,2.278
PMY2685,3,1.207
PMY2686,1,6.117999999999999
PMY2686,2,6.495
PMY2686,3,6.9030000000000005
PMY2687,1,5.278
PMY2687,2,7.276
PMY2687,3,4.556
PMY2688,1,0.833
PMY2688,2,1.253
PMY2688,3,1.13
PMY2689,1,4.585
PMY2689,2,2.1169999999999995
PMY2689,3,2.6209999999999996
PMY2690,1,6.07
PMY2690,2,7.779000000000001
PMY2690,3,6.430000000000001
PMY2691,1,2.713
PMY2691,2,2.4400000000000004
PMY2691,3,1.953
PMY2692,1,2.901
PMY2692,2,3.498
PMY2692,3,2.9690000000000003
PMY2693,1,1.361
PMY2693,2,0.9469999999999998
PMY2693,3,1.185
PMY2694,1,6.705
PMY2694,2,8.014
PMY2694,3,8.072
PMY2695,1,3.0839999999999996
PMY2695,2,5.482
PMY2695,3,4.178999999999999
PMY2696,1,2.574
PMY2696,2,1.0060000000000002
PMY2696,3,2.23
PMY2697,1,1.9329999999999998
PMY2697,2,1.313
PMY2697,3,1.7299999999999998
PMY2698,1,1.57
