Strain,Day,Replicate,Stack,plate,passage,Area,Mean,Min,Max,issues
B898_cor,1,1,2,p1_1,11,0.211,19928.875,17903,28655,
B605,1,1,3,p1_1,11,0.448,21011.512,18533,31176,
B574,1,1,3,p1_1,11,0.614,20970.374,17807,26850,
B896_cor,1,1,3,p1_1,11,0.134,20589.692,18083,27705,
B908_cor,1,1,3,p1_1,11,0.742,20519.847,10885,29039,
B407,1,1,3,p1_1,11,0.205,20643.953,18326,23288,
B890_cor,1,1,3,p1_1,11,0.137,20383.017,17847,27052,
B587,1,1,3,p1_1,11,0.641,21017.774,17980,33218,contamination
B369,1,1,3,p1_1,11,0.32,20465.06,17125,25786,
B387,1,1,3,p1_1,11,0.503,20963.818,17835,25238,
B956,1,1,3,p1_1,11,0.136,20947.949,17677,28146,
B364,1,1,3,p1_1,11,0.155,19686.22,18217,25854,
B378,1,1,3,p1_1,11,0.886,20842.02,17692,32823,
B621,1,1,4,p1_1,11,0.582,21086.896,11099,30304,cracked
B876,1,1,4,p1_1,11,0.314,20839.436,18180,33303,
B926,1,1,4,p1_1,11,0.617,20636.764,17527,26684,
B368,1,1,4,p1_1,11,0.276,21088.293,15866,24977,
B960_cor,1,1,4,p1_1,11,0.059,20710.836,17815,26575,
B932,1,1,4,p1_1,11,0.058,20697.66,17848,26591,
B353,1,1,4,p1_1,11,0.099,20397.899,17770,25226,
B588,1,1,4,p1_1,11,0.469,20518.078,17871,23693,
B360,1,1,4,p1_1,11,0.863,20484.46,17254,26508,
B927,1,1,4,p1_1,11,0.171,20539.997,18031,27857,
B565,1,1,4,p1_1,11,0.098,20333.149,17515,28439,
B376,1,1,4,p1_1,11,0.22,20579.971,18733,26438,
B563,1,1,5,p1_1,11,0.993,20881.922,17888,33541,
C001,1,1,5,p1_1,11,0.617,20830.861,17376,30334,
C026_cor,1,1,5,p1_1,11,0.082,20587.132,17848,27400,
C366,1,1,5,p1_1,11,0.55,20733.839,17707,27978,
B374,1,1,5,p1_1,11,0.602,20539.053,16988,25711,
B379,1,1,5,p1_1,11,0.241,20309.616,18157,29144,
B998,1,1,5,p1_1,11,0.106,20704.064,18285,25731,
B906_cor,1,1,5,p1_1,11,0.14,20953.367,18076,27069,
B584,1,1,5,p1_1,11,0.26,20230.872,17478,26643,
B873_cor,1,1,5,p1_1,11,0.156,20783.905,17593,26961,
B600,1,1,5,p1_1,11,0.127,20251.061,17936,26029,
B569,1,1,5,p1_1,11,0.733,20976.757,18023,28730,
B589,1,1,6,p1_1,11,0.318,21014.322,18645,27605,
B585,1,1,6,p1_1,11,0.533,20602.774,17265,24784,
B880,1,1,6,p1_1,11,0.088,19981.077,18061,27144,
B960,12,1,1,p2_1,10,7.398,20477.174,8481,46500,
B377,12,1,1,p2_1,10,4.105,19827.538,16391,30174,
C031,12,1,1,p2_1,10,1.484,20808.702,18222,27091,
