Strain,Day,Replicate,Stack,plate,passage,Area,Mean,Min,Max,issues
B887,1,2,2,2_2-1_2_secondhalf,5,0.108,38444.034,34114,51344,
C026,1,2,2,2_2-1_2_secondhalf,5,0.107,38071.679,34327,51419,
B960,1,2,2,2_2-1_2_secondhalf,5,0.295,38178.157,33170,58374,
B564,1,2,2,2_2-1_2_secondhalf,5,0.168,39704.619,35312,54002,
B952,1,2,2,2_2-1_2_secondhalf,5,0.087,39277.681,35617,46594,
B387,1,2,2,2_2-1_2_secondhalf,5,0.445,39378.524,34083,46970,
B600,1,2,2,2_2-1_2_secondhalf,5,0.069,37545.185,34505,44312,
B569,1,2,2,2_2-1_2_secondhalf,5,0.277,39499.165,35011,58092,
B383,1,2,3,2_2-1_2_secondhalf,5,0.103,38471.739,33508,51512,
B574,1,2,3,2_2-1_2_secondhalf,5,0.59,39118.91,33034,47358,
C026_cor,1,2,3,2_2-1_2_secondhalf,5,0.068,37813.919,33047,48950,
B357,1,2,3,2_2-1_2_secondhalf,5,0.339,39346.141,34731,55644,
B585,1,2,3,2_2-1_2_secondhalf,5,0.153,38906.226,36210,41959,
B869_cor,1,2,3,2_2-1_2_secondhalf,5,0.3,39499.468,33707,52174,
C039,1,2,3,2_2-1_2_secondhalf,5,0.148,37579.946,34027,49016,
B887_cor,1,2,3,2_2-1_2_secondhalf,5,0.187,39166.059,33456,48217,
B314,1,2,3,2_2-1_2_secondhalf,5,0.088,39888.297,34701,51175,
B874_cor,1,2,3,2_2-1_2_secondhalf,5,0.067,39658.669,36208,43946,
C271,1,2,3,2_2-1_2_secondhalf,5,0.689,38490.497,32714,47764,
B929,1,2,3,2_2-1_2_secondhalf,5,0.15,38549.622,33742,52341,
B312,1,2,4,2_2-1_2_secondhalf,5,0.267,37343.574,34295,44752,
B598,1,2,4,2_2-1_2_secondhalf,5,0.719,41537.611,36827,55449,
B908,1,2,4,2_2-1_2_secondhalf,5,0.083,40061.299,37017,45945,
B317,1,2,4,2_2-1_2_secondhalf,5,0.211,37725.553,34725,46692,
XL280alpha,1,2,4,2_2-1_2_secondhalf,5,0.15,39559.034,33758,48058,
B307,1,2,4,2_2-1_2_secondhalf,5,0.695,37817.836,32122,49358,
C001,1,2,4,2_2-1_2_secondhalf,5,0.55,38958.261,33166,53305,
B890_cor,1,2,4,2_2-1_2_secondhalf,5,0.127,38693.673,34816,43894,
B605,1,2,4,2_2-1_2_secondhalf,5,0.475,39994.605,34282,46086,
B606,1,2,4,2_2-1_2_secondhalf,5,0.441,39884.172,33857,47733,
B621,1,2,4,2_2-1_2_secondhalf,5,0.197,38970.98,34322,42688,
B368,1,2,4,2_2-1_2_secondhalf,5,0.322,38484.3,34882,47897,
B960_cor,1,2,5,2_2-1_2_secondhalf,5,0.391,39243.641,33309,47532,
C291,1,2,5,2_2-1_2_secondhalf,5,0.178,38252.506,33839,44349,
C031,1,2,5,2_2-1_2_secondhalf,5,0.537,38456.146,32772,45755,
431alpha,1,2,5,2_2-1_2_secondhalf,5,0.243,37749.529,33466,46282,
Kn99,1,2,5,2_2-1_2_secondhalf,5,0.981,38086.942,31705,47796,
B315,1,2,5,2_2-1_2_secondhalf,5,0.193,38834.958,35527,45616,
B369,1,2,5,2_2-1_2_secondhalf,5,0.374,39517.826,33932,62130,
B956,1,2,5,2_2-1_2_secondhalf,5,0.157,38267.491,32716,48291,
B888_cor,1,2,5,2_2-1_2_secondhalf,5,0.226,39631.722,35314,53005,
B889,1,2,5,2_2-1_2_secondhalf,5,0.172,40017.234,34459,46905,
B565,1,2,5,2_2-1_2_secondhalf,5,0.102,38014.382,33354,48744,
B906_cor,1,2,5,2_2-1_2_secondhalf,5,0.147,39948.186,35473,52489,
C272,1,2,6,2_2-1_2_secondhalf,5,0.232,39007.136,34979,43047,
C036,1,2,6,2_2-1_2_secondhalf,5,0.555,37951.112,32261,56454,
C033,12,2,1,2_2-1_2_secondhalf,5,3.835,35847.55,31634,49103,
B377,12,2,1,2_2-1_2_secondhalf,5,5.847,36865.793,23775,52699,
B358,12,2,1,2_2-1_2_secondhalf,5,0.851,36519.75,32468,49257,
B311,12,2,1,2_2-1_2_secondhalf,5,2.882,37915.169,31769,65534,
B886_cor,12,2,1,2_2-1_2_secondhalf,5,1.872,35528.994,31812,53076,
B567,12,2,1,2_2-1_2_secondhalf,5,2.374,37504.759,32474,60522,
B927,12,2,1,2_2-1_2_secondhalf,5,0.867,38685.402,32787,48246,
B872_cor,12,2,1,2_2-1_2_secondhalf,5,2.261,37303.566,31929,50965,
B360,12,2,1,2_2-1_2_secondhalf,5,4.811,36327.485,31920,51751,
B873_cor,12,2,1,2_2-1_2_secondhalf,5,0.629,37530.123,8159,47262,cracked
B553,12,2,1,2_2-1_2_secondhalf,5,7.017,36123.478,19933,57004,
B366,12,2,1,2_2-1_2_secondhalf,5,0.857,37083.26,33343,65289,
B356,12,2,2,2_2-1_2_secondhalf,5,1.96,36125.055,32907,51151,
C031_cor,12,2,2,2_2-1_2_secondhalf,5,6.153,35288.132,31027,53084,
B950,12,2,2,2_2-1_2_secondhalf,5,0.952,37584.538,33365,53539,
C029_cor,12,2,2,2_2-1_2_secondhalf,5,3.097,35257.511,30900,50537,
B887,12,2,2,2_2-1_2_secondhalf,5,5.051,36053.434,29684,51682,
C026,12,2,2,2_2-1_2_secondhalf,5,3.27,36656.762,32353,53560,
B960,12,2,2,2_2-1_2_secondhalf,5,2.219,35893.398,31567,49982,
B564,12,2,2,2_2-1_2_secondhalf,5,1.242,37286.964,33289,48565,
B952,12,2,2,2_2-1_2_secondhalf,5,2.317,37353.93,31126,53249,
B387,12,2,2,2_2-1_2_secondhalf,5,1.537,35282.73,31607,48694,
B600,12,2,2,2_2-1_2_secondhalf,5,0.772,37763.82,33617,47997,
B569,12,2,2,2_2-1_2_secondhalf,5,4.096,36837.207,31470,65411,
B383,12,2,3,2_2-1_2_secondhalf,5,1.389,36228.362,32221,50300,
B574,12,2,3,2_2-1_2_secondhalf,5,1.151,34974.487,30852,48899,
C026_cor,12,2,3,2_2-1_2_secondhalf,5,,,,,detached
B357,12,2,3,2_2-1_2_secondhalf,5,2.766,38479.683,32591,65534,
B585,12,2,3,2_2-1_2_secondhalf,5,3.415,36324.949,31821,52818,
B869_cor,12,2,3,2_2-1_2_secondhalf,5,5.138,36768.656,29607,52682,
C039,12,2,3,2_2-1_2_secondhalf,5,5.652,36905.603,30138,61744,
B887_cor,12,2,3,2_2-1_2_secondhalf,5,0.919,36935.716,33304,51306,
B314,12,2,3,2_2-1_2_secondhalf,5,0.886,38663.563,33622,44759,
B874_cor,12,2,3,2_2-1_2_secondhalf,5,3.861,37587.093,30996,50372,
C271,12,2,3,2_2-1_2_secondhalf,5,1.136,37986.273,32745,49192,
B929,12,2,3,2_2-1_2_secondhalf,5,5.14,35539.68,23273,65533,
B312,12,2,4,2_2-1_2_secondhalf,5,5.178,35538.917,23273,65533,
B598,12,2,4,2_2-1_2_secondhalf,5,0.66,39689.767,34817,54783,
B908,12,2,4,2_2-1_2_secondhalf,5,0.375,37842.486,34326,43222,
B317,12,2,4,2_2-1_2_secondhalf,5,3.487,35704.788,29101,62432,
XL280alpha,12,2,4,2_2-1_2_secondhalf,5,0.593,36184.808,32958,45628,
B307,12,2,4,2_2-1_2_secondhalf,5,2.634,36065.076,32043,53381,
C001,12,2,4,2_2-1_2_secondhalf,5,1.609,36858.779,32609,52486,
B890_cor,12,2,4,2_2-1_2_secondhalf,5,1.147,38261.353,33586,61793,
B605,12,2,4,2_2-1_2_secondhalf,5,2.63,38157.306,33512,47398,
B606,12,2,4,2_2-1_2_secondhalf,5,3.828,37709.328,33002,49949,
B621,12,2,4,2_2-1_2_secondhalf,5,4.903,37790.219,31836,52200,
B368,12,2,4,2_2-1_2_secondhalf,5,1.546,37284.08,32319,54322,
B960_cor,12,2,5,2_2-1_2_secondhalf,5,2.184,35867.56,32000,50247,
C291,12,2,5,2_2-1_2_secondhalf,5,6.47,37515.923,24144,61562,
C031,12,2,5,2_2-1_2_secondhalf,5,3.276,36204.793,32623,54142,
431alpha,12,2,5,2_2-1_2_secondhalf,5,3.684,37402.958,23020,50206,
Kn99,12,2,5,2_2-1_2_secondhalf,5,5.99,35882.479,29060,65534,
B315,12,2,5,2_2-1_2_secondhalf,5,5.931,37285.768,30111,50465,
B369,12,2,5,2_2-1_2_secondhalf,5,4.776,36311.195,26690,52420,
B956,12,2,5,2_2-1_2_secondhalf,5,3.555,35322.011,31254,65097,
B888_cor,12,2,5,2_2-1_2_secondhalf,5,1.721,36799.205,34031,52782,
B889,12,2,5,2_2-1_2_secondhalf,5,2.264,37337.023,32905,49919,
B565,12,2,5,2_2-1_2_secondhalf,5,1.234,35593.565,31987,50789,
B906_cor,12,2,5,2_2-1_2_secondhalf,5,2.361,36760.384,32869,49307,
C272,12,2,6,2_2-1_2_secondhalf,5,0.84,38587.216,34965,55362,
C036,12,2,6,2_2-1_2_secondhalf,5,1.424,35429.335,31584,50360,
B399,1,3,1,2_3-1_3_secondhalf,9,0.347,38257.617,34670,42840,
B901_cor,1,3,1,2_3-1_3_secondhalf,9,0.214,38041.853,33308,46349,
431alpha,1,3,1,2_3-1_3_secondhalf,9,0.375,38958.85,34557,48139,
B929,1,3,1,2_3-1_3_secondhalf,9,0.165,39673.392,36643,44120,
B311,1,3,1,2_3-1_3_secondhalf,9,0.098,38118.333,32058,44146,
B314,1,3,1,2_3-1_3_secondhalf,9,0.154,40439.803,35079,46654,
B896,1,3,1,2_3-1_3_secondhalf,9,0.733,37969.413,32740,49643,
B307,1,3,1,2_3-1_3_secondhalf,9,0.306,38886.678,33759,43633,
B873,1,3,1,2_3-1_3_secondhalf,9,0.38,38998.543,34443,46468,
B358,1,3,1,2_3-1_3_secondhalf,9,0.255,38910.31,34723,45156,
B600,1,3,1,2_3-1_3_secondhalf,9,0.067,40327.213,35469,47793,
B906_cor,1,3,1,2_3-1_3_secondhalf,9,0.206,40334.726,35083,50340,
B360,1,3,2,2_3-1_3_secondhalf,9,0.194,37590.964,33277,46076,
B364,1,3,2,2_3-1_3_secondhalf,9,0.258,36743.031,32766,50872,
B397,1,3,2,2_3-1_3_secondhalf,9,0.379,37885.381,32435,43548,
B574,1,3,2,2_3-1_3_secondhalf,9,0.213,37744.796,33306,45432,
B996,1,3,2,2_3-1_3_secondhalf,9,0.242,37548.159,32823,45077,
B575,1,3,2,2_3-1_3_secondhalf,9,0.19,36659.995,33925,47590,
B876,1,3,2,2_3-1_3_secondhalf,9,0.438,37340.215,33035,40237,
B872_cor,1,3,2,2_3-1_3_secondhalf,9,0.385,37292.239,32260,40514,
B605,1,3,2,2_3-1_3_secondhalf,9,0.568,38480.345,33324,45012,
B368,1,3,2,2_3-1_3_secondhalf,9,0.163,36773.243,33644,45976,
B892_cor,1,3,2,2_3-1_3_secondhalf,9,0.303,37932.899,32749,49104,
B952,1,3,2,2_3-1_3_secondhalf,9,0.154,38199.161,34365,43066,
B407,1,3,3,2_3-1_3_secondhalf,9,0.147,37547.13,33012,41429,
B956,1,3,3,2_3-1_3_secondhalf,9,0.592,36594.097,30671,47670,
B585,1,3,3,2_3-1_3_secondhalf,9,0.586,38983.741,33812,52632,
B579,1,3,3,2_3-1_3_secondhalf,9,0.367,37308.138,31582,44537,
B997,1,3,3,2_3-1_3_secondhalf,9,0.566,39678.431,33898,56415,
B960_cor,1,3,3,2_3-1_3_secondhalf,9,0.193,39516.821,34399,51115,
B887_cor,1,3,3,2_3-1_3_secondhalf,9,0.137,36969.502,31717,45873,
B315,1,3,3,2_3-1_3_secondhalf,9,0.391,37905.15,32140,61800,
B560,1,3,3,2_3-1_3_secondhalf,9,0.814,37636.456,31610,45916,
C059,1,3,3,2_3-1_3_secondhalf,9,0.263,38179.645,33215,43051,
B886,1,3,3,2_3-1_3_secondhalf,9,0.155,38603.905,33614,45338,
C291,1,3,3,2_3-1_3_secondhalf,9,0.209,37391.841,34257,47881,
C029_cor,1,3,4,2_3-1_3_secondhalf,9,0.114,37062.043,33125,42201,
B930,1,3,4,2_3-1_3_secondhalf,9,0.186,37780.598,32810,42411,
B356,1,3,4,2_3-1_3_secondhalf,9,0.347,37513.492,33368,42088,
XL280alpha,1,3,4,2_3-1_3_secondhalf,9,0.085,38053.007,34606,42374,
B890_cor,1,3,4,2_3-1_3_secondhalf,9,0.17,37057.854,32597,44637,
B896_cor,1,3,4,2_3-1_3_secondhalf,9,0.139,38638.222,32611,48769,
B570,1,3,4,2_3-1_3_secondhalf,9,0.102,37257.268,33905,40056,
B874_cor,1,3,4,2_3-1_3_secondhalf,9,0.111,38360.402,33422,52289,contaminated
B382,1,3,4,2_3-1_3_secondhalf,9,0.665,37908.214,33163,41934,
C036,1,3,4,2_3-1_3_secondhalf,9,0.312,38574.649,33144,43910,
C031_cor,1,3,4,2_3-1_3_secondhalf,9,0.336,38193.101,31892,49441,
B317,1,3,4,2_3-1_3_secondhalf,9,0.246,36832.913,33077,46095,
XL280a,1,3,5,2_3-1_3_secondhalf,9,0.055,38205.132,32866,45692,
Kn99,1,3,5,2_3-1_3_secondhalf,9,0.162,38189.746,33734,45291,
B565,1,3,5,2_3-1_3_secondhalf,9,0.142,37637.935,32734,58142,
B564,1,3,5,2_3-1_3_secondhalf,9,0.353,37927.06,33615,43980,
B589,1,3,5,2_3-1_3_secondhalf,9,0.846,38699.771,32450,45356,
B584,1,3,5,2_3-1_3_secondhalf,9,0.184,39702.487,36239,48314,
B611,1,3,5,2_3-1_3_secondhalf,9,0.145,38601.128,34900,42198,
B366,1,3,5,2_3-1_3_secondhalf,9,0.18,39717.228,35709,50721,
B399,12,3,1,2_3-1_3_secondhalf,9,0.305,38247.457,34320,43767,
B901_cor,12,3,1,2_3-1_3_secondhalf,9,3.482,35620.917,30068,52214,
431alpha,12,3,1,2_3-1_3_secondhalf,9,2.033,37162.173,30953,50288,
B929,12,3,1,2_3-1_3_secondhalf,9,0.842,38494.917,34361,45849,
B311,12,3,1,2_3-1_3_secondhalf,9,0.963,36690.788,32731,49202,
B314,12,3,1,2_3-1_3_secondhalf,9,1.072,39276.021,27006,49797,
B896,12,3,1,2_3-1_3_secondhalf,9,0.814,38292.246,33627,49151,
B307,12,3,1,2_3-1_3_secondhalf,9,3.111,37813.081,32435,51945,
B873,12,3,1,2_3-1_3_secondhalf,9,1.831,37724.873,33069,48661,
B358,12,3,1,2_3-1_3_secondhalf,9,3.79,37307.478,30134,60376,
B600,12,3,1,2_3-1_3_secondhalf,9,0.285,39542.828,34296,54980,
B906_cor,12,3,1,2_3-1_3_secondhalf,9,1.582,37669.83,24567,51871,
B360,12,3,2,2_3-1_3_secondhalf,9,1.851,36075.861,31952,47369,
B364,12,3,2,2_3-1_3_secondhalf,9,1.481,35676.275,32079,50478,
B397,12,3,2,2_3-1_3_secondhalf,9,1.592,35481.596,31613,46802,
B574,12,3,2,2_3-1_3_secondhalf,9,1.339,35327.288,32140,48326,
B996,12,3,2,2_3-1_3_secondhalf,9,0.381,37924.79,32577,48333,
B575,12,3,2,2_3-1_3_secondhalf,9,2.988,35123.537,32585,55781,
B876,12,3,2,2_3-1_3_secondhalf,9,0.654,37455.63,33316,43636,
B872_cor,12,3,2,2_3-1_3_secondhalf,9,0.428,36823.103,32805,58916,
B605,12,3,2,2_3-1_3_secondhalf,9,1.008,37451.85,33440,47190,
B368,12,3,2,2_3-1_3_secondhalf,9,1.632,36232.879,30254,49102,
B892_cor,12,3,2,2_3-1_3_secondhalf,9,2.625,37589.595,32994,53482,
B952,12,3,2,2_3-1_3_secondhalf,9,2.42,35593.969,31741,49833,
B407,12,3,3,2_3-1_3_secondhalf,9,0.336,37638.917,33653,46167,
B956,12,3,3,2_3-1_3_secondhalf,9,3.077,36317.022,30733,51266,
B585,12,3,3,2_3-1_3_secondhalf,9,0.809,37151.041,33424,47331,
B579,12,3,3,2_3-1_3_secondhalf,9,1.111,36417.74,32326,48748,
B997,12,3,3,2_3-1_3_secondhalf,9,1.24,38700.03,30118,56612,
B960_cor,12,3,3,2_3-1_3_secondhalf,9,2.25,37308.478,30603,50395,
B887_cor,12,3,3,2_3-1_3_secondhalf,9,0.843,36526.385,32755,46566,
B315,12,3,3,2_3-1_3_secondhalf,9,0.671,38051.543,33469,44639,
B560,12,3,3,2_3-1_3_secondhalf,9,1.198,36281.981,32401,49235,
C059,12,3,3,2_3-1_3_secondhalf,9,3.337,37710.223,32757,48837,
B886,12,3,3,2_3-1_3_secondhalf,9,0.165,37571.441,33491,50222,
C291,12,3,3,2_3-1_3_secondhalf,9,2.37,37483.337,25605,51671,
C029_cor,12,3,4,2_3-1_3_secondhalf,9,0.266,37413.747,33093,43505,
B930,12,3,4,2_3-1_3_secondhalf,9,0.681,35879.337,33043,45274,
B356,12,3,4,2_3-1_3_secondhalf,9,0.973,37509.873,32275,45691,
XL280alpha,12,3,4,2_3-1_3_secondhalf,9,0.284,34453.612,7907,47782,cracked
B890_cor,12,3,4,2_3-1_3_secondhalf,9,0.61,37452.5,33392,45292,
B896_cor,12,3,4,2_3-1_3_secondhalf,9,1.567,37912.789,33134,54582,
B570,12,3,4,2_3-1_3_secondhalf,9,0.257,36961.096,33705,42060,
B874_cor,12,3,4,2_3-1_3_secondhalf,9,0.147,38659.247,32649,51652,contaminated
B382,12,3,4,2_3-1_3_secondhalf,9,0.631,38261.567,33967,46030,contaminated
C036,12,3,4,2_3-1_3_secondhalf,9,2.669,36509.541,30662,63649,
C031_cor,12,3,4,2_3-1_3_secondhalf,9,3.396,37108.532,30782,54652,
B317,12,3,4,2_3-1_3_secondhalf,9,3.849,36161.44,18925,50322,
XL280a,12,3,5,2_3-1_3_secondhalf,9,0.027,38074.844,33792,44184,
Kn99,12,3,5,2_3-1_3_secondhalf,9,1.626,35895.521,30890,47514,
B565,12,3,5,2_3-1_3_secondhalf,9,0.846,35635.025,32545,61089,
B564,12,3,5,2_3-1_3_secondhalf,9,2.315,38823.05,31826,60792,
B589,12,3,5,2_3-1_3_secondhalf,9,0.969,36714.349,32705,47568,
B584,12,3,5,2_3-1_3_secondhalf,9,3.1,35402.028,30451,56481,
B611,12,3,5,2_3-1_3_secondhalf,9,0.368,39025.568,33971,49331,
B366,12,3,5,2_3-1_3_secondhalf,9,2.1,38628.01,33781,59308,
C271,1,3,1,2_3-1_3_firsthalf,7,0.183,36066.506,31797,44642,
B599,1,3,1,2_3-1_3_firsthalf,7,0.498,36120.262,29805,42700,
B316,1,3,1,2_3-1_3_firsthalf,7,0.062,35483.257,32052,47206,
B573,1,3,1,2_3-1_3_firsthalf,7,0.646,36207.244,30152,50090,
C026_cor,1,3,1,2_3-1_3_firsthalf,7,0.164,36011.593,31089,48032,
B369,1,3,1,2_3-1_3_firsthalf,7,0.189,36025.144,31738,45551,
B591,1,3,1,2_3-1_3_firsthalf,7,0.603,37284.832,32474,42553,
B586,1,3,1,2_3-1_3_firsthalf,7,0.212,34989.443,31317,59102,
B926,1,3,1,2_3-1_3_firsthalf,7,0.892,36694.644,31297,48106,
B961_cor,1,3,1,2_3-1_3_firsthalf,7,0.489,36338.498,31240,50694,
B357,1,3,1,2_3-1_3_firsthalf,7,0.152,33718.879,30700,52149,
B587,1,3,1,2_3-1_3_firsthalf,7,0.631,36094.497,30093,44176,
B998,1,3,2,2_3-1_3_firsthalf,7,0.136,34843.916,30752,49621,
C033,1,3,2,2_3-1_3_firsthalf,7,0.218,35773.77,31902,52275,
B898_cor,1,3,2,2_3-1_3_firsthalf,7,0.164,34648.222,31880,45007,
B908_cor,1,3,2,2_3-1_3_firsthalf,7,0.216,36093.24,32932,49284,
B927,1,3,2,2_3-1_3_firsthalf,7,0.18,35284.497,30986,48338,
B387,1,3,2,2_3-1_3_firsthalf,7,0.426,37030.01,31363,43713,
B378,1,3,2,2_3-1_3_firsthalf,7,0.439,36562.507,31461,44426,
B869_cor,1,3,2,2_3-1_3_firsthalf,7,0.187,36419.764,32483,65070,
B374,1,3,2,2_3-1_3_firsthalf,7,0.672,36980.667,32025,41850,
B906,1,3,2,2_3-1_3_firsthalf,7,0.084,36468.614,31058,49781,
C242,1,3,2,2_3-1_3_firsthalf,7,0.351,37074.172,32026,41009,
B872,1,3,2,2_3-1_3_firsthalf,7,0.197,35736.431,31476,47676,contaminated
B908,1,3,3,2_3-1_3_firsthalf,7,0.489,36212.68,25656,44871,
B874,1,3,3,2_3-1_3_firsthalf,7,0.518,36501.875,30993,42197,
B379,1,3,3,2_3-1_3_firsthalf,7,0.232,35499.701,32111,52495,
B905,1,3,3,2_3-1_3_firsthalf,7,0.111,36624.875,31279,47532,
C272,1,3,3,2_3-1_3_firsthalf,7,0.181,35530.469,27706,47350,
B606,1,3,3,2_3-1_3_firsthalf,7,0.587,37220.74,30791,44175,
B886,1,3,3,2_3-1_3_firsthalf,7,0.128,35656.616,31794,48680,
B580,1,3,3,2_3-1_3_firsthalf,7,0.312,34614.315,31096,49061,
B873_cor,1,3,3,2_3-1_3_firsthalf,7,0.126,36556.599,30856,51204,
B383,1,3,3,2_3-1_3_firsthalf,7,0.479,35760.928,30785,49107,
B961,1,3,3,2_3-1_3_firsthalf,7,0.271,37684.254,32514,42422,
B313,1,3,3,2_3-1_3_firsthalf,7,0.422,37407.028,32002,44260,
B373,1,3,4,2_3-1_3_firsthalf,7,0.389,36985.929,31222,45994,
B396,1,3,4,2_3-1_3_firsthalf,7,0.211,36844.474,32358,41782,
B569,1,3,4,2_3-1_3_firsthalf,7,0.283,36938.268,31817,43471,
C001,1,3,4,2_3-1_3_firsthalf,7,0.098,35133.831,31797,44697,
B553,1,3,4,2_3-1_3_firsthalf,7,0.112,36525.749,31651,44942,
B960,1,3,4,2_3-1_3_firsthalf,7,0.294,36661.49,31699,46118,
B312,1,3,4,2_3-1_3_firsthalf,7,0.685,35928.787,30430,54298,
B598,1,3,4,2_3-1_3_firsthalf,7,0.662,35322.091,30115,42764,
B588,1,3,4,2_3-1_3_firsthalf,7,0.789,36371.572,30062,43405,
C290,1,3,4,2_3-1_3_firsthalf,7,0.219,35871.234,29750,43435,
431alpha,1,3,4,2_3-1_3_firsthalf,7,0.185,34184.377,31180,44409,
B886_cor,1,3,4,2_3-1_3_firsthalf,7,0.372,36835.583,31287,53059,
B887,1,3,5,2_3-1_3_firsthalf,7,0.22,36241.22,30995,49211,
B850,1,3,5,2_3-1_3_firsthalf,7,0.116,36511.606,32088,47934,
XL280a,1,3,5,2_3-1_3_firsthalf,7,0.211,36455.536,32885,41308,
B354,1,3,5,2_3-1_3_firsthalf,7,0.193,35299.737,32306,54494,
B621,1,3,5,2_3-1_3_firsthalf,7,0.227,36018.453,31602,44988,
B563,1,3,5,2_3-1_3_firsthalf,7,0.887,36564.43,30831,43288,
B310,1,3,5,2_3-1_3_firsthalf,7,0.2,35450.449,32263,56095,
C271,12,3,1,2_3-1_3_firsthalf,7,4.142,37960.873,32490,50067,
B599,12,3,1,2_3-1_3_firsthalf,7,3.574,36623.952,27998,46160,
B316,12,3,1,2_3-1_3_firsthalf,7,0.408,36719.96,32906,44081,
B573,12,3,1,2_3-1_3_firsthalf,7,2.915,37153.225,32444,61023,
C026_cor,12,3,1,2_3-1_3_firsthalf,7,0.935,35140.033,30298,50010,
B369,12,3,1,2_3-1_3_firsthalf,7,7.104,36139.7,22364,52622,
B591,12,3,1,2_3-1_3_firsthalf,7,1.354,37207.405,32347,49821,
B586,12,3,1,2_3-1_3_firsthalf,7,1.719,38193.691,32300,60591,
B926,12,3,1,2_3-1_3_firsthalf,7,1.87,38131.595,33280,47101,
B961_cor,12,3,1,2_3-1_3_firsthalf,7,1.633,37515.007,31947,51263,
B357,12,3,1,2_3-1_3_firsthalf,7,2.058,37346.045,31741,50843,
B587,12,3,1,2_3-1_3_firsthalf,7,2.1,38688.569,23947,47194,
B998,12,3,2,2_3-1_3_firsthalf,7,2.871,34655.118,30947,50299,
C033,12,3,2,2_3-1_3_firsthalf,7,4.242,35417.552,32102,49700,
B898_cor,12,3,2,2_3-1_3_firsthalf,7,2.871,34655.118,30947,50299,
B908_cor,12,3,2,2_3-1_3_firsthalf,7,8.537,35577.453,16775,59829,
B927,12,3,2,2_3-1_3_firsthalf,7,2.501,35808.292,31032,60716,contaminated
B387,12,3,2,2_3-1_3_firsthalf,7,2.478,36527.333,31379,47272,
B378,12,3,2,2_3-1_3_firsthalf,7,1.814,36726.532,32049,47678,contaminated
B869_cor,12,3,2,2_3-1_3_firsthalf,7,2.581,35406.74,31385,51289,contaminated
B374,12,3,2,2_3-1_3_firsthalf,7,0.915,39286.133,34474,47950,
B906,12,3,2,2_3-1_3_firsthalf,7,1.11,36238.636,31653,48016,
C242,12,3,2,2_3-1_3_firsthalf,7,1.233,37874.068,33499,44741,contaminated
B872,12,3,2,2_3-1_3_firsthalf,7,2.105,36708.189,27341,54803,
B908,12,3,3,2_3-1_3_firsthalf,7,0.281,35244.252,28222,57046,detached
B874,12,3,3,2_3-1_3_firsthalf,7,0.774,37623.684,31664,46864,
B379,12,3,3,2_3-1_3_firsthalf,7,1.361,36397.446,32681,48649,
B905,12,3,3,2_3-1_3_firsthalf,7,1.654,39749.498,17794,65535,detached
C272,12,3,3,2_3-1_3_firsthalf,7,2.044,35913.181,28566,50955,
B606,12,3,3,2_3-1_3_firsthalf,7,1.628,36834.391,31364,49506,contaminated
B886,12,3,3,2_3-1_3_firsthalf,7,2.415,35697.567,8664,52449,contaminated
B580,12,3,3,2_3-1_3_firsthalf,7,0.313,35036.426,32701,46639,
B873_cor,12,3,3,2_3-1_3_firsthalf,7,2.551,37158.533,21366,50882,
B383,12,3,3,2_3-1_3_firsthalf,7,1.012,35490.298,31701,51336,
B961,12,3,3,2_3-1_3_firsthalf,7,2.338,36200.926,30823,48163,
B313,12,3,3,2_3-1_3_firsthalf,7,2.442,36778.994,31531,48650,
B373,12,3,4,2_3-1_3_firsthalf,7,1.495,37461.04,33108,49564,
B396,12,3,4,2_3-1_3_firsthalf,7,3.981,36431.067,32084,49435,
B569,12,3,4,2_3-1_3_firsthalf,7,4.507,37143.449,28901,46457,
C001,12,3,4,2_3-1_3_firsthalf,7,2.031,36720.05,32490,48200,
B553,12,3,4,2_3-1_3_firsthalf,7,0.713,38380.505,33246,48278,
B960,12,3,4,2_3-1_3_firsthalf,7,2.186,36717.16,31709,47643,
B312,12,3,4,2_3-1_3_firsthalf,7,1.932,35516.643,31509,50125,
B598,12,3,4,2_3-1_3_firsthalf,7,0.847,36532.222,31789,46473,
B588,12,3,4,2_3-1_3_firsthalf,7,2.149,36864.978,22987,48139,
C290,12,3,4,2_3-1_3_firsthalf,7,1.661,35776.036,31461,48999,
431alpha,12,3,4,2_3-1_3_firsthalf,7,2.368,36411.107,30419,64746,
B886_cor,12,3,4,2_3-1_3_firsthalf,7,1.038,37059.081,31808,49816,contaminated
B887,12,3,5,2_3-1_3_firsthalf,7,3.042,36058.384,31116,52350,
B850,12,3,5,2_3-1_3_firsthalf,7,4.2,35941.179,30690,48602,
XL280a,12,3,5,2_3-1_3_firsthalf,7,0.652,36965.219,32521,47422,contaminated
B354,12,3,5,2_3-1_3_firsthalf,7,8.461,35935.746,23258,65521,
B621,12,3,5,2_3-1_3_firsthalf,7,1.926,35795.02,31573,46680,
B563,12,3,5,2_3-1_3_firsthalf,7,1.415,37754.443,33354,47264,
B310,12,3,5,2_3-1_3_firsthalf,7,8.486,35784.752,18166,59117,
