Strain,Replicate,Day,Area,Mean,Min,Max,cleared,plate_coverage,age
32,2,10,6.3,33817.752,25738,65535,1,,
32,1,10,4.861,34957.56,26242,62648,1,,
35,2,10,0.743,34454.19,31104,47189,1,,
35,1,10,0.763,34626.588,31266,51948,1,,
34,2,10,1.456,35808.673,29865,47512,1,,
34,1,10,0.338,37126.076,32986,49024,0,,
37,2,10,1.721,35529.935,29935,56428,1,,
37,1,10,1.042,35260.023,31888,53924,1,,
36,2,10,1.628,34647.022,30931,52690,1,,
36,1,10,0.921,35705.447,31955,54535,1,,
33,2,11,7.603,34846.527,13829,65535,1,,
33,1,11,0.491,37874.744,31902,60996,0,,
32,2,11,7.377,33841.875,21865,65535,1,,
32,1,11,6.207,35144.49,27728,64247,1,,
35,2,11,0.823,34199.067,30792,65535,1,,
35,1,11,0.858,34622.411,31019,51435,1,,
34,2,11,1.799,35928.357,31281,51326,1,,
34,1,11,0.329,37361.227,32727,47819,0,,
37,2,11,2.155,35586.327,28626,65535,1,,
37,1,11,1.205,35325.24,31656,51794,1,,
36,2,11,1.764,34708.656,30661,54433,1,,
36,1,11,1.296,36305.354,30197,55661,1,,
33,2,12,7.493,34684.872,13624,65535,1,,
33,1,12,,,,,0,,
32,2,12,8.288,33541.289,9903,65535,1,,
32,1,12,7.332,34950.859,20475,63092,1,,
35,2,12,0.942,34160.091,7,65525,1,,
35,1,12,0.979,34687.202,7,65534,1,,
34,2,12,2.061,35642.014,3,65533,1,,
34,1,12,0.406,37638.428,32584,49357,0,,
37,2,12,2.76,35670.738,29388,61444,1,,
37,1,12,1.415,35386.452,31850,49233,1,,
36,2,12,2.013,34768.146,30854,54298,1,,
36,1,12,1.588,36416.802,29240,56120,1,,
41,2,1,0.179,18912.39,18292,24803,1,,
41,1,1,0.352,19919.212,18267,27198,0,,
40,2,1,0.211,19355.386,18505,21966,0,,
40,1,1,0.139,20508.169,19184,29435,0,,
43,2,1,0.239,20108.408,18632,23374,0,,
43,1,1,0.468,20231.034,18400,23639,0,,
42,2,1,0.223,19368.623,18543,21800,0,,
42,1,1,0.289,19624.839,18419,23569,0,,
45,2,1,0.479,20670.125,18677,23784,0,,
45,1,1,0.187,21701.142,18578,30425,0,,
44,2,1,0.261,19506.033,18454,25488,0,,
44,1,1,0.238,19545.132,18629,24342,0,,
41,2,2,0.185,18815.757,18330,27332,1,,
41,1,2,0.37,19680.411,18336,27735,1,,
40,2,2,0.213,19160.294,18494,21895,0,,
40,1,2,0.133,20451.331,19176,26400,0,,
43,2,2,0.246,19052.534,18144,25865,1,,
43,1,2,0.261,19348.368,18300,27390,1,,
42,2,2,0.212,18782.505,18231,23568,1,,
42,1,2,0.266,19023.299,18241,27695,1,,
45,2,2,0.475,20371.813,18620,26001,0,,
45,1,2,0.179,21803.154,18840,29999,0,,
44,2,2,0.263,19270.463,18469,26727,1,,
44,1,2,0.253,19385.598,18620,24991,1,,
41,2,3,0.249,18791.586,18311,25735,1,,
41,1,3,0.379,19066.339,18298,27020,1,,
40,2,3,0.249,19210.865,18562,22123,1,,
40,1,3,0.158,20623.507,19246,28505,0,,
43,2,3,0.308,18858.909,17482,29396,1,,
43,1,3,0.463,18990.493,18280,26367,1,,
42,2,3,0.28,18734.806,18248,26119,1,,
42,1,3,0.428,18840.438,18309,26975,1,,
45,2,3,0.252,19574.684,18568,27180,0,,
45,1,3,0.194,21916.368,18821,30591,0,,
44,2,3,0.261,19250.818,18410,25687,1,,
44,1,3,0.268,19308.546,18638,24887,1,,
41,2,4,0.349,18779.399,18273,25672,1,,
41,1,4,0.499,18956.338,18288,25807,1,,
40,2,4,0.263,19265.169,18494,21665,1,,
40,1,4,0.165,20732.662,19269,28322,0,,
43,2,4,0.45,18991.983,17721,29192,1,,
43,1,4,0.583,19032.508,18359,25530,1,,
42,2,4,0.403,18727.79,18225,26703,1,,
42,1,4,0.566,18822.568,18249,26465,1,,
45,2,4,0.361,19709.132,18596,26557,1,,
45,1,4,0.25,22032.333,18732,30534,0,,
44,2,4,0.316,19364.197,18436,27352,1,,
44,1,4,0.321,19358.232,18681,25856,1,,
41,2,5,0.529,19668.122,4,65526,1,,
41,1,5,0.577,19701.686,3,65530,1,,
40,2,5,0.271,19515.665,195,65393,1,,
40,1,5,0.146,20846.602,19440,27577,0,,
43,2,5,0.776,19172.012,17879,29135,1,,
43,1,5,0.733,19099.976,18319,26062,1,,
42,2,5,0.715,18758.973,18048,26348,1,,
42,1,5,0.764,18862.736,18257,26790,1,,
45,2,5,0.502,20538.334,40,65534,0,,
45,1,5,0.323,23014.308,3,65534,0,,
44,2,5,0.385,19547.218,147,65529,1,,
44,1,5,0.394,19732.409,4,65521,1,,
41,2,6,0.875,18880.231,18196,26482,1,,
41,1,6,0.726,19010.511,18380,26242,1,,
40,2,6,0.305,19198.777,18488,22528,0,,
40,1,6,0.162,20925.192,19379,28268,0,,
43,2,6,1.492,19510.8,17786,29122,1,,
43,1,6,1.088,19221.845,18278,25790,1,,
42,2,6,1.338,18840.369,18065,26253,1,,
42,1,6,1.208,18931.152,18166,26780,1,,
45,2,6,0.618,19717.863,18420,26471,0,,
45,1,6,0.483,22876.991,18407,32267,0,,
44,2,6,0.491,19408.186,18584,27699,1,,
44,1,6,0.507,19347.402,18544,27894,1,,
41,2,7,1.31,18843.067,18107,26172,1,,
