Strain,Replicate,Day,Area,Mean,Min,Max,cleared,plate_coverage,age
46,2,11,2.182,35071.202,3,65534,1,,
46,1,11,1.556,35049.294,3,65534,1,,
39,2,11,5.686,34564.031,28191,62232,1,,
39,1,11,4.126,35314.567,30343,51474,1,,
38,2,11,5.885,34702.96,25226,57272,1,,
38,1,11,3.509,35296.77,27144,52650,1,,
31,2,12,8.563,33902.58,9220,65535,1,,
31,1,12,8.443,34636.895,15560,65535,1,,
30,2,12,7.378,34604.021,22592,65535,1,,
30,1,12,6.043,35171.302,24679,49182,1,,
47,2,12,1.046,37374.744,31614,65535,0,,
47,1,12,1.209,36570.298,29822,59189,0,,
46,2,12,2.363,35310.971,26932,57292,1,,
46,1,12,1.819,34982.039,29279,53571,1,,
39,2,12,6.775,34660.69,27092,62621,1,,
39,1,12,5.513,35582.541,28545,53395,1,,
38,2,12,7.215,34723.022,20110,65535,1,,
38,1,12,4.901,35342.481,30947,57229,1,,
Bt63,2,1,0.486,20645.309,18175,31830,0,,
Bt63,1,1,0.332,20063.483,17991,23076,0,,
48,2,1,0.402,20419.144,18585,25268,0,,
48,1,1,NA,NA,NA,NA,0,,
Kn99,2,1,1.05,19920.62,16756,24633,0,,
Kn99,1,1,0.189,21034.098,18255,24899,0,,
Bt22,2,1,0.374,20428.845,18936,24360,0,,
Bt22,1,1,0.508,20312.129,17912,25539,0,,
Ftc555,2,1,0.633,20529.555,18277,22851,0,,
Ftc555,1,1,0.363,20762.579,18499,22950,0,,
Bt63,2,2,0.423,20494.258,18059,29550,0,,
Bt63,1,2,0.256,19278.804,18009,25476,0,,
48,2,2,0.4,20073.554,18436,25710,0,,
48,1,2,NA,NA,NA,NA,0,,
Kn99,2,2,1.058,20485.163,55,65534,0,,
Kn99,1,2,0.174,21355.3,24,65453,0,,
Bt22,2,2,0.34,21002.998,71,65465,0,,
Bt22,1,2,0.413,20713.789,27,65533,0,,
Ftc555,2,2,0.615,20395.646,18007,25338,0,,
Ftc555,1,2,0.374,20432.184,18383,26310,0,,
Bt63,2,3,0.298,19816.558,18169,30396,0,,
Bt63,1,3,0.278,19070.151,17963,27658,1,,
48,2,3,0.235,19484.481,18400,26294,0,,
48,1,3,NA,NA,NA,NA,0,,
Kn99,2,3,0.992,19751.171,16967,27345,0,,
Kn99,1,3,0.213,19350.825,18616,27912,1,,
Bt22,2,3,0.376,19099.091,18481,27483,1,,
Bt22,1,3,0.562,19295.129,18036,28523,1,,
Ftc555,2,3,0.594,20241.62,18143,27044,0,,
Ftc555,1,3,0.396,20229.936,18504,27553,0,,
Bt63,2,4,0.309,19644.085,17999,30309,0,,
Bt63,1,4,0.369,19064.72,18039,26545,1,,
48,2,4,0.288,19403.286,18268,26319,1,,
48,1,4,NA,NA,NA,NA,0,,
Kn99,2,4,1.068,19401.158,17086,27520,0,,
Kn99,1,4,0.294,19893.071,18472,27099,1,,
Bt22,2,4,0.447,19035.512,18364,26804,1,,
Bt22,1,4,0.647,19130.395,18056,28370,1,,
Ftc555,2,4,0.642,19931.193,18083,26852,0,,
Ftc555,1,4,0.274,19651.382,18323,27157,1,,
Bt63,2,5,0.318,19639.603,17952,31133,0,,
Bt63,1,5,0.454,19029.454,16671,27183,1,,
48,2,5,0.358,19559.733,18370,25848,1,,
48,1,5,NA,NA,NA,NA,0,,
Kn99,2,5,1.167,19320.33,16894,27387,1,,
Kn99,1,5,0.384,20471.822,13774,27343,1,,
Bt22,2,5,0.533,19048.355,17486,27029,1,,
Bt22,1,5,0.767,18943.379,17993,27493,1,,
Ftc555,2,5,0.634,19734.365,18020,27297,1,,
Ftc555,1,5,0.337,19653.497,18327,26615,1,,
Bt63,2,6,0.361,19773.303,18065,31633,0,,
Bt63,1,6,0.596,19091.896,16534,25754,1,,
48,2,6,0.426,19506.354,18391,25800,1,,
48,1,6,NA,NA,NA,NA,0,,
Kn99,2,6,1.305,19340.715,15968,27669,0,,
Kn99,1,6,0.43,21368.581,18764,26766,0,,
Bt22,2,6,0.69,19071.338,17479,27414,1,,
Bt22,1,6,0.922,18934.599,18154,26185,1,,
Ftc555,2,6,0.746,19732.412,18115,26090,1,,
Ftc555,1,6,0.436,19753.284,18294,26811,1,,
Bt63,2,7,0.365,36386.546,31794,62358,0,,
Bt63,1,7,0.771,34756.81,156,65490,1,,
48,2,7,0.503,35501.324,31825,50417,1,,
48,1,7,NA,NA,NA,NA,0,,
Kn99,2,7,1.422,35295.905,28058,65535,0,,
Kn99,1,7,0.528,39825.191,4,65533,0,,
Bt22,2,7,0.965,34659.574,31045,52023,1,,
Bt22,1,7,1.143,34374.914,31337,54529,1,,
Ftc555,2,7,0.842,35973.85,59,65534,1,,
Ftc555,1,7,0.561,36138.408,31659,52518,0,,
Bt63,2,8,0.395,36690.981,31689,61678,0,,
Bt63,1,8,0.982,34839.919,29140,49947,1,,
48,2,8,0.604,35798.645,31927,50826,0,,
48,1,8,NA,NA,NA,NA,0,,
Kn99,2,8,1.661,35516.502,27551,65535,0,,
Kn99,1,8,0.563,41385.096,35963,46653,0,,
Bt22,2,8,1.5,35044.579,30624,52431,1,,
Bt22,1,8,1.51,34602.922,28276,50781,1,,
Ftc555,2,8,0.962,36408.472,28051,51132,1,,
Ftc555,1,8,0.702,36384.804,31789,50934,0,,
Bt63,2,9,0.188,35722.003,31783,51366,0,,
Bt63,1,9,1.308,34929.782,28328,51337,1,,
48,2,9,0.7,35829.209,31781,49825,0,,
48,1,9,NA,NA,NA,NA,0,,
Kn99,2,9,1.976,35680.139,8,65535,1,,
Kn99,1,9,0.587,41244.539,55,65517,0,,
Bt22,2,9,2.319,35013.538,3,65533,1,,
Bt22,1,9,2.099,34813.37,4,65526,1,,
Ftc555,2,9,1.116,36347.462,28034,51130,1,,
Ftc555,1,9,0.913,36492.134,31419,49970,1,,
Bt63,2,10,0.381,36061.049,83,65534,0,,
Bt63,1,10,1.637,34905.493,12,65513,1,,
48,2,10,0.88,35803.717,44,65462,0,,
48,1,10,NA,NA,NA,NA,0,,
Kn99,2,10,1.985,35685.071,27449,65535,1,,
Kn99,1,10,0.784,41802.735,34518,48992,0,,
Bt22,2,10,3.249,35227.353,30148,53664,1,,
Bt22,1,10,2.699,35025.011,30481,52986,1,,
Ftc555,2,10,1.282,36430.842,3,65534,1,,
Ftc555,1,10,1.117,36484.5,3,65530,1,,
Bt63,2,11,0.324,36119.405,31969,52718,0,,
Bt63,1,11,2.026,35148.686,28647,51247,1,,
48,2,11,1.06,36004.387,31416,48728,0,,
48,1,11,NA,NA,NA,NA,0,,
Kn99,2,11,2.744,36344.614,27770,64721,1,,
Kn99,1,11,0.854,41891.372,38097,63116,0,,
Bt22,2,11,4.417,35258.506,30192,52818,1,,
Bt22,1,11,3.437,35037.721,28834,54168,1,,
Ftc555,2,11,1.474,36554.552,27102,51853,1,,
Ftc555,1,11,1.382,36665.597,31031,52430,1,,
Bt63,2,12,0.319,36207.428,31648,58735,0,,
Bt63,1,12,2.529,35248.517,29099,52187,1,,
48,2,12,1.317,36169.236,31809,64761,0,,
48,1,12,NA,NA,NA,NA,0,,
Kn99,2,12,3.31,36574.393,27628,65535,1,,
Kn99,1,12,0.911,41901.134,35713,50861,0,,
Bt22,2,12,5.783,35218.3,3,65533,1,,
Bt22,1,12,4.261,34970.232,3,65533,1,,
Ftc555,2,12,1.686,36718.585,28325,51295,1,,
Ftc555,1,12,1.707,36770.908,30938,51576,1,,
