"";"Strains";"Replicate";"Day";"Area";"Mean";"Min";"Max";"cleared";"plate_coverage";"age";"date"
"323";"28";2;3;0,274;19206,991;18480;26613;1;NA;NA;"10_29_2019"
"324";"28";1;3;0,246;19087,51;18583;27318;1;NA;NA;"10_29_2019"
"325";"25";2;4;0,226;19492,241;18603;24328;1;NA;NA;"10_29_2019"
"326";"25";1;4;0,324;19492,093;18723;25664;1;NA;NA;"10_29_2019"
"327";"24";2;4;0,32;19072,859;18118;25959;1;NA;NA;"10_29_2019"
"328";"24";1;4;0,36;19470,671;18653;26797;1;NA;NA;"10_29_2019"
"329";"27";2;4;0,291;18990,724;100;65369;1;NA;NA;"10_29_2019"
"330";"27";1;4;0,396;19293,586;18264;24577;1;NA;NA;"10_29_2019"
"331";"26";2;4;0,658;19701,372;27;65498;1;NA;NA;"10_29_2019"
"332";"26";1;4;0,517;19138,803;18349;24510;1;NA;NA;"10_29_2019"
"333";"29";2;4;0,509;18943,408;18385;24935;1;NA;NA;"10_29_2019"
"334";"29";1;4;0,536;19172,487;18609;26158;1;NA;NA;"10_29_2019"
"335";"28";2;4;0,395;19131,387;18327;27015;1;NA;NA;"10_29_2019"
"336";"28";1;4;0,349;18995,493;18333;27176;1;NA;NA;"10_29_2019"
"337";"25";2;5;0,252;19528,807;18744;23581;1;NA;NA;"10_29_2019"
"338";"25";1;5;0,359;19513,82;18739;23863;1;NA;NA;"10_29_2019"
"339";"24";2;5;0,406;19098,143;18184;25339;1;NA;NA;"10_29_2019"
"340";"24";1;5;0,458;19460,746;18378;26750;1;NA;NA;"10_29_2019"
"341";"27";2;5;0,358;19020,181;18266;24459;1;NA;NA;"10_29_2019"
"342";"27";1;5;0,375;19263,921;18442;24630;1;NA;NA;"10_29_2019"
"343";"26";2;5;0,915;19216,418;17925;25370;1;NA;NA;"10_29_2019"
"344";"26";1;5;0,686;19237,348;18380;25071;1;NA;NA;"10_29_2019"
"345";"29";2;5;0,823;18946,655;18271;24229;1;NA;NA;"10_29_2019"
"346";"29";1;5;0,693;19159,295;18562;25261;1;NA;NA;"10_29_2019"
"347";"28";2;5;0,584;19081,232;18395;26830;1;NA;NA;"10_29_2019"
"348";"28";1;5;0,557;19136,14;18434;27110;1;NA;NA;"10_29_2019"
"349";"25";2;6;0,334;19652,94;18780;23719;1;NA;NA;"10_29_2019"
"350";"25";1;6;0,463;19574,125;18828;25545;1;NA;NA;"10_29_2019"
"351";"24";2;6;0,59;19097,675;18147;25529;1;NA;NA;"10_29_2019"
"352";"24";1;6;0,563;19480,584;18449;26321;1;NA;NA;"10_29_2019"
"353";"27";2;6;0,406;19104,085;18336;24448;1;NA;NA;"10_29_2019"
"354";"27";1;6;0,453;19251,539;15658;24218;1;NA;NA;"10_29_2019"
"355";"26";2;6;1,572;19333,661;17153;25656;1;NA;NA;"10_29_2019"
"356";"26";1;6;1,043;19396,936;17718;26315;1;NA;NA;"10_29_2019"
"357";"29";2;6;1,542;19251,471;24;65505;1;NA;NA;"10_29_2019"
"358";"29";1;6;1,063;19273,05;18526;26282;1;NA;NA;"10_29_2019"
"359";"28";2;6;0,994;19576,163;27;65533;1;NA;NA;"10_29_2019"
"360";"28";1;6;0,969;19812,475;8;65517;1;NA;NA;"10_29_2019"
"361";"25";2;7;0,451;36100,496;32183;45627;0;NA;NA;"10_29_2019"
"362";"25";1;7;0,517;35876,037;31985;46325;0;NA;NA;"10_29_2019"
"363";"24";2;7;0,802;35097,119;30937;47935;0;NA;NA;"10_29_2019"
"364";"24";1;7;0,694;35576,718;31956;51505;0;NA;NA;"10_29_2019"
"365";"27";2;7;0,473;34742,304;31928;65535;1;NA;NA;"10_29_2019"
"366";"27";1;7;0,523;35084,758;31749;48273;0;NA;NA;"10_29_2019"
"367";"26";2;7;2,453;35258,285;3;65530;0;NA;NA;"10_29_2019"
"368";"26";1;7;1,642;35592,868;31293;60025;0;NA;NA;"10_29_2019"
"369";"29";2;7;2,414;34748,675;30519;57755;1;NA;NA;"10_29_2019"
"370";"29";1;7;1,599;35421,233;31567;54159;1;NA;NA;"10_29_2019"
"371";"28";2;7;1,647;34761,779;4;65526;1;NA;NA;"10_29_2019"
"372";"28";1;7;1,571;36128,687;29946;54458;1;NA;NA;"10_29_2019"
"373";"25";2;8;0,617;36314,433;32827;45190;0;NA;NA;"10_29_2019"
"374";"25";1;8;0,661;35989,026;32483;51083;0;NA;NA;"10_29_2019"
"375";"24";2;8;1,141;35083,611;31113;48119;0;NA;NA;"10_29_2019"
"376";"24";1;8;0,878;35909,854;31685;59064;1;NA;NA;"10_29_2019"
"377";"27";2;8;0,564;34617,441;31464;65535;0;NA;NA;"10_29_2019"
"378";"27";1;8;0,584;35010,449;31831;47647;0;NA;NA;"10_29_2019"
"379";"26";2;8;3,738;35255,916;28001;49315;0;NA;NA;"10_29_2019"
"380";"26";1;8;2,667;35886,247;25943;55482;1;NA;NA;"10_29_2019"
"381";"29";2;8;3,604;34740,65;27736;57356;1;NA;NA;"10_29_2019"
"382";"29";1;8;2,364;35540,576;31335;54185;1;NA;NA;"10_29_2019"
"383";"28";2;8;2,415;34585,838;30956;54799;1;NA;NA;"10_29_2019"
"384";"28";1;8;2,427;36362,069;29040;55232;1;NA;NA;"10_29_2019"
"385";"25";2;9;0,814;36256,894;55;65534;0;NA;NA;"10_29_2019"
"386";"25";1;9;0,818;36206,342;3;65530;0;NA;NA;"10_29_2019"
"387";"24";2;9;1,603;35151,846;24;65513;1;NA;NA;"10_29_2019"
"388";"24";1;9;1,147;36070,327;27;65533;1;NA;NA;"10_29_2019"
"389";"27";2;9;0,685;34716,257;31684;62368;1;NA;NA;"10_29_2019"
"390";"27";1;9;0,659;35106,982;31729;47202;1;NA;NA;"10_29_2019"
"391";"26";2;9;5,291;35413,706;30199;54599;1;NA;NA;"10_29_2019"
"392";"26";1;9;4,191;36173,458;31031;52934;1;NA;NA;"10_29_2019"
"393";"29";2;9;5,373;34766,456;4;65534;1;NA;NA;"10_29_2019"
"394";"29";1;9;3,418;35667,629;7;65525;1;NA;NA;"10_29_2019"
"395";"28";2;9;3,449;34633,599;7;65534;1;NA;NA;"10_29_2019"
"396";"28";1;9;3,516;36381,811;3;65533;1;NA;NA;"10_29_2019"
"397";"25";2;10;NA;NA;NA;NA;NA;NA;NA;"10_29_2019"
"398";"25";1;10;NA;NA;NA;NA;NA;NA;NA;"10_29_2019"
"399";"24";2;10;NA;NA;NA;NA;NA;NA;NA;"10_29_2019"
"400";"24";1;10;NA;NA;NA;NA;NA;NA;NA;"10_29_2019"
"401";"27";2;10;NA;NA;NA;NA;NA;NA;NA;"10_29_2019"
"402";"27";1;10;NA;NA;NA;NA;NA;NA;NA;"10_29_2019"
"403";"26";2;10;NA;NA;NA;NA;NA;NA;NA;"10_29_2019"
"404";"26";1;10;NA;NA;NA;NA;NA;NA;NA;"10_29_2019"
"405";"29";2;10;NA;NA;NA;NA;NA;NA;NA;"10_29_2019"
"406";"29";1;10;NA;NA;NA;NA;NA;NA;NA;"10_29_2019"
"407";"28";2;10;NA;NA;NA;NA;NA;NA;NA;"10_29_2019"
"408";"28";1;10;NA;NA;NA;NA;NA;NA;NA;"10_29_2019"
"409";"25";2;11;1,446;36606,572;32371;44880;0;NA;NA;"10_29_2019"
"410";"25";1;11;1,196;36638,705;32297;48343;0;NA;NA;"10_29_2019"
"411";"24";2;11;2,688;35452,782;30197;47969;0;NA;NA;"10_29_2019"
"412";"24";1;11;1,703;36461,814;31949;48977;0;NA;NA;"10_29_2019"
"413";"27";2;11;0,934;34801,592;31740;65535;1;NA;NA;"10_29_2019"
"414";"27";1;11;0,816;35251,878;31638;48993;1;NA;NA;"10_29_2019"
"415";"26";2;11;7,703;35930,767;12;65534;0;NA;NA;"10_29_2019"
"416";"26";1;11;7,614;36113,453;3;65535;0;NA;NA;"10_29_2019"
"417";"29";2;11;8,598;34974,026;20006;61969;0;NA;NA;"10_29_2019"
"418";"29";1;11;6,222;35893,528;29113;52678;0;NA;NA;"10_29_2019"
"419";"28";2;11;5,45;35005,906;26937;54517;1;NA;NA;"10_29_2019"
"420";"28";1;11;6,089;36727,521;27773;57998;1;NA;NA;"10_29_2019"
"421";"25";2;12;1,835;36788,211;30857;45948;0;NA;NA;"10_29_2019"
"422";"25";1;12;1,46;36738,319;32432;49078;0;NA;NA;"10_29_2019"
"423";"24";2;12;3,413;35576,712;24;65533;0;NA;NA;"10_29_2019"
"424";"24";1;12;2,118;36570,947;760;65457;0;NA;NA;"10_29_2019"
"425";"27";2;12;1,105;34919,722;31580;59309;1;NA;NA;"10_29_2019"
"426";"27";1;12;0,923;35362,244;31746;46696;1;NA;NA;"10_29_2019"
"427";"26";2;12;8,517;35991,165;12586;56976;0;NA;NA;"10_29_2019"
"428";"26";1;12;8,442;36347,761;16917;65535;0;NA;NA;"10_29_2019"
"429";"29";2;12;8,689;34764,222;3;65534;0;NA;NA;"10_29_2019"
"430";"29";1;12;7,697;35678,364;4;65534;0;NA;NA;"10_29_2019"
"431";"28";2;12;7,13;35321,903;3;65535;1;NA;NA;"10_29_2019"
"432";"28";1;12;7,4;36755,647;3;65534;1;NA;NA;"10_29_2019"
"433";"31";2;1;0,29;19391,207;18577;21364;0;NA;NA;"10_29_2019"
"434";"31";1;1;0,474;19871,972;18453;24252;0;NA;NA;"10_29_2019"
"435";"30";2;1;0,303;19951,918;18721;21768;0;NA;NA;"10_29_2019"
"436";"30";1;1;0,522;20228,542;18028;23613;0;NA;NA;"10_29_2019"
"437";"47";2;1;0,217;20894,944;19074;30215;0;NA;NA;"10_29_2019"
"438";"47";1;1;0,438;20663,106;18019;24321;0;NA;NA;"10_29_2019"
"439";"46";2;1;1,086;20358,196;17520;25272;0;NA;NA;"10_29_2019"
"440";"46";1;1;0,409;20294,872;18368;23430;0;NA;NA;"10_29_2019"
"441";"39";2;1;0,316;20244,839;18779;22596;0;NA;NA;"10_29_2019"
"442";"39";1;1;0,508;20474,735;18512;23995;0;NA;NA;"10_29_2019"
"443";"38";2;1;0,232;19321,809;18348;23333;0;NA;NA;"10_29_2019"
"444";"38";1;1;0,289;19756,094;18754;25428;0;NA;NA;"10_29_2019"
"445";"31";2;2;0,299;18752,67;18265;24659;1;NA;NA;"10_29_2019"
"446";"31";1;2;0,414;19257,87;18143;27214;1;NA;NA;"10_29_2019"
"447";"30";2;2;0,266;19100,562;18288;26019;1;NA;NA;"10_29_2019"
"448";"30";1;2;0,488;19759,773;18024;27472;0;NA;NA;"10_29_2019"
"449";"47";2;2;0,286;20759,792;19033;28393;0;NA;NA;"10_29_2019"
"450";"47";1;2;0,461;20587,441;18331;26454;0;NA;NA;"10_29_2019"
"451";"46";2;2;1,014;20252,445;17071;26710;0;NA;NA;"10_29_2019"
"452";"46";1;2;0,39;19965,308;18250;25939;0;NA;NA;"10_29_2019"
"453";"39";2;2;0,279;19089,325;17433;26189;1;NA;NA;"10_29_2019"
"454";"39";1;2;0,351;19945,009;17903;27184;0;NA;NA;"10_29_2019"
"455";"38";2;2;0,219;18973,403;18071;26893;0;NA;NA;"10_29_2019"
"456";"38";1;2;0,283;19769,17;18557;26877;1;NA;NA;"10_29_2019"
"457";"31";2;3;0,369;19321,141;39;65478;1;NA;NA;"10_29_2019"
"458";"31";1;3;0,538;19546,906;43;65465;1;NA;NA;"10_29_2019"
"459";"30";2;3;0,329;19024,236;124;65437;1;NA;NA;"10_29_2019"
"460";"30";1;3;0,498;19110,247;219;65502;1;NA;NA;"10_29_2019"
"461";"47";2;3;0,163;20323,988;19083;27983;0;NA;NA;"10_29_2019"
"462";"47";1;3;0,469;20392,395;13001;26973;0;NA;NA;"10_29_2019"
"463";"46";2;3;1,164;19945,194;16633;28215;0;NA;NA;"10_29_2019"
"464";"46";1;3;0,304;19629,309;18137;27869;1;NA;NA;"10_29_2019"
"465";"39";2;3;0,335;19431,372;44;65462;1;NA;NA;"10_29_2019"
"466";"39";1;3;0,455;19867,913;120;65534;1;NA;NA;"10_29_2019"
"467";"38";2;3;0,266;18745,524;18053;25506;1;NA;NA;"10_29_2019"
"468";"38";1;3;0,333;19194,544;18635;28040;1;NA;NA;"10_29_2019"
"469";"31";2;4;0,535;18616,074;18174;26171;1;NA;NA;"10_29_2019"
"470";"31";1;4;0,693;18683,799;18205;26069;1;NA;NA;"10_29_2019"
"471";"30";2;4;0,434;18656,159;18206;25255;1;NA;NA;"10_29_2019"
"472";"30";1;4;0,65;18694,936;17977;26761;1;NA;NA;"10_29_2019"
"473";"47";2;4;0,181;20104,395;19298;25609;0;NA;NA;"10_29_2019"
"474";"47";1;4;0,405;20187,702;18036;27165;0;NA;NA;"10_29_2019"
"475";"46";2;4;1,156;19675,439;16320;28337;0;NA;NA;"10_29_2019"
"476";"46";1;4;0,379;19343,556;18269;27445;1;NA;NA;"10_29_2019"
"477";"39";2;4;0,396;18545,82;16925;26807;1;NA;NA;"10_29_2019"
"478";"39";1;4;0,567;18839,533;17910;26971;1;NA;NA;"10_29_2019"
"479";"38";2;4;0,36;18725,068;17916;25173;1;NA;NA;"10_29_2019"
"480";"38";1;4;0,419;19125,678;18583;27060;1;NA;NA;"10_29_2019"
"481";"31";2;5;0,873;18630,241;18065;25968;1;NA;NA;"10_29_2019"
"482";"31";1;5;0,944;18734,681;18195;25503;1;NA;NA;"10_29_2019"
"483";"30";2;5;0,61;18678,56;18156;25342;1;NA;NA;"10_29_2019"
"484";"30";1;5;0,777;18684,275;17942;25318;1;NA;NA;"10_29_2019"
"485";"47";2;5;0,316;20419,715;19199;30334;0;NA;NA;"10_29_2019"
"486";"47";1;5;0,511;20076,251;18098;28169;0;NA;NA;"10_29_2019"
"487";"46";2;5;1,177;19581,406;3;65530;0;NA;NA;"10_29_2019"
"488";"46";1;5;0,461;19164,918;18203;27129;1;NA;NA;"10_29_2019"
"489";"39";2;5;0,507;18526,736;16955;26257;1;NA;NA;"10_29_2019"
"490";"39";1;5;0,675;18788,731;17845;27139;1;NA;NA;"10_29_2019"
"491";"38";2;5;0,546;18744,269;17818;25128;1;NA;NA;"10_29_2019"
"492";"38";1;5;0,526;19102,028;18617;26715;1;NA;NA;"10_29_2019"
"493";"31";2;6;1,67;18626,027;17965;30747;1;NA;NA;"10_29_2019"
"494";"31";1;6;1,499;18806,251;18129;26553;1;NA;NA;"10_29_2019"
"495";"30";2;6;1,031;18735,074;18029;26242;1;NA;NA;"10_29_2019"
"496";"30";1;6;1,016;18673,976;17763;25928;1;NA;NA;"10_29_2019"
"497";"47";2;6;0,435;20365,715;19262;29684;0;NA;NA;"10_29_2019"
"498";"47";1;6;0,54;19944,473;12944;27902;0;NA;NA;"10_29_2019"
"499";"46";2;6;1,357;19182,753;16432;27244;0;NA;NA;"10_29_2019"
"500";"46";1;6;0,573;19101,138;17938;26840;1;NA;NA;"10_29_2019"
"501";"39";2;6;0,744;18615,988;16806;26130;1;NA;NA;"10_29_2019"
"502";"39";1;6;0,839;18819,75;17790;26477;1;NA;NA;"10_29_2019"
"503";"38";2;6;0,955;18795,922;17637;26506;1;NA;NA;"10_29_2019"
"504";"38";1;6;0,7;19141,201;18622;24835;1;NA;NA;"10_29_2019"
"505";"31";2;7;2,777;33746,047;3;65530;1;NA;NA;"10_29_2019"
"506";"31";1;7;2,309;34268,418;30320;53948;1;NA;NA;"10_29_2019"
"507";"30";2;7;1,638;34139,063;30106;50807;1;NA;NA;"10_29_2019"
"508";"30";1;7;1,379;33960,435;59;65534;1;NA;NA;"10_29_2019"
"509";"47";2;7;0,597;37463,027;33326;65535;0;NA;NA;"10_29_2019"
"510";"47";1;7;0,645;36381,978;30413;58489;0;NA;NA;"10_29_2019"
"511";"46";2;7;1,524;34875,106;26712;52803;0;NA;NA;"10_29_2019"
"512";"46";1;7;0,691;34669,159;3;65530;1;NA;NA;"10_29_2019"
"513";"39";2;7;1,176;33951,161;29387;52553;1;NA;NA;"10_29_2019"
"514";"39";1;7;1,077;34408,523;30295;52930;1;NA;NA;"10_29_2019"
"515";"38";2;7;1,541;34362,544;30779;53519;1;NA;NA;"10_29_2019"
"516";"38";1;7;0,959;34769,885;3;65533;1;NA;NA;"10_29_2019"
"517";"31";2;8;4,267;33853,793;12;65535;1;NA;NA;"10_29_2019"
"518";"31";1;8;3,457;34401,352;3;65534;1;NA;NA;"10_29_2019"
"519";"30";2;8;2,458;34193,037;3;65534;1;NA;NA;"10_29_2019"
"520";"30";1;8;1,977;34486,039;3;65530;1;NA;NA;"10_29_2019"
"521";"47";2;8;0,7;37407,153;31023;55925;0;NA;NA;"10_29_2019"
"522";"47";1;8;0,761;36385,153;30478;63927;0;NA;NA;"10_29_2019"
"523";"46";2;8;1,685;34872,723;26835;53598;0;NA;NA;"10_29_2019"
"524";"46";1;8;0,825;34910,698;30699;51934;1;NA;NA;"10_29_2019"
"525";"39";2;8;1,952;34083,723;3;65533;1;NA;NA;"10_29_2019"
"526";"39";1;8;1,472;34365,589;24;65526;1;NA;NA;"10_29_2019"
"527";"38";2;8;2,333;34413,214;4;65526;1;NA;NA;"10_29_2019"
"528";"38";1;8;1,357;34898,33;7;65533;1;NA;NA;"10_29_2019"
"529";"31";2;9;6,276;33879,105;3;65535;1;NA;NA;"10_29_2019"
"530";"31";1;9;5,251;34546,401;24;65534;1;NA;NA;"10_29_2019"
"531";"30";2;9;3,62;34278,454;27;65535;1;NA;NA;"10_29_2019"
"532";"30";1;9;2,829;34719,4;3;65534;1;NA;NA;"10_29_2019"
"533";"47";2;9;0,773;37374,639;31591;65535;0;NA;NA;"10_29_2019"
"534";"47";1;9;0,881;36448,123;30313;57162;0;NA;NA;"10_29_2019"
"535";"46";2;9;1,807;34910,771;28933;55089;1;NA;NA;"10_29_2019"
"536";"46";1;9;1,042;34961,239;30229;51644;1;NA;NA;"10_29_2019"
"537";"39";2;9;3,097;34398,802;59;65490;1;NA;NA;"10_29_2019"
"538";"39";1;9;2,198;34829,313;8;65510;1;NA;NA;"10_29_2019"
"539";"38";2;9;3,482;34645,708;3;65535;1;NA;NA;"10_29_2019"
"540";"38";1;9;1,966;35152,48;43;65533;1;NA;NA;"10_29_2019"
"541";"31";2;10;7,918;33895,898;22836;65535;1;NA;NA;"10_29_2019"
"542";"31";1;10;6,95;34935,547;18408;57312;1;NA;NA;"10_29_2019"
"543";"30";2;10;4,77;34525,365;28227;65535;1;NA;NA;"10_29_2019"
"544";"30";1;10;3,752;35167,182;30192;65535;1;NA;NA;"10_29_2019"
"545";"47";2;10;0,863;37605,013;31853;65535;0;NA;NA;"10_29_2019"
"546";"47";1;10;0,991;36724,519;28541;57342;0;NA;NA;"10_29_2019"
"547";"46";2;10;2;35282,176;26262;57440;1;NA;NA;"10_29_2019"
"548";"46";1;10;1,289;35397,901;29848;53088;1;NA;NA;"10_29_2019"
"549";"39";2;10;4,311;34718,427;28470;59194;1;NA;NA;"10_29_2019"
"550";"39";1;10;3,08;35251,736;31082;51780;1;NA;NA;"10_29_2019"
"551";"38";2;10;4,644;34919,833;28495;65535;1;NA;NA;"10_29_2019"
"552";"38";1;10;2,628;35356,803;31534;61046;1;NA;NA;"10_29_2019"
"553";"31";2;11;8,59;33849,668;7741;65535;1;NA;NA;"10_29_2019"
"554";"31";1;11;8,101;34870,99;13945;65060;1;NA;NA;"10_29_2019"
"555";"30";2;11;6,204;34589,685;26993;54804;1;NA;NA;"10_29_2019"
"556";"30";1;11;4,829;35189,419;29423;53497;1;NA;NA;"10_29_2019"
"557";"47";2;11;0,914;37328,775;31664;65535;0;NA;NA;"10_29_2019"
"558";"47";1;11;1,067;36517,074;12;65513;0;NA;NA;"10_29_2019"
"559";"46";2;11;2,182;35071,202;3;65534;1;NA;NA;"10_29_2019"
"560";"46";1;11;1,556;35049,294;3;65534;1;NA;NA;"10_29_2019"
"561";"39";2;11;5,686;34564,031;28191;62232;1;NA;NA;"10_29_2019"
"562";"39";1;11;4,126;35314,567;30343;51474;1;NA;NA;"10_29_2019"
"563";"38";2;11;5,885;34702,96;25226;57272;1;NA;NA;"10_29_2019"
"564";"38";1;11;3,509;35296,77;27144;52650;1;NA;NA;"10_29_2019"
"565";"31";2;12;8,563;33902,58;9220;65535;1;NA;NA;"10_29_2019"
"566";"31";1;12;8,443;34636,895;15560;65535;1;NA;NA;"10_29_2019"
"567";"30";2;12;7,378;34604,021;22592;65535;1;NA;NA;"10_29_2019"
"568";"30";1;12;6,043;35171,302;24679;49182;1;NA;NA;"10_29_2019"
"569";"47";2;12;1,046;37374,744;31614;65535;0;NA;NA;"10_29_2019"
"570";"47";1;12;1,209;36570,298;29822;59189;0;NA;NA;"10_29_2019"
"571";"46";2;12;2,363;35310,971;26932;57292;1;NA;NA;"10_29_2019"
"572";"46";1;12;1,819;34982,039;29279;53571;1;NA;NA;"10_29_2019"
"573";"39";2;12;6,775;34660,69;27092;62621;1;NA;NA;"10_29_2019"
"574";"39";1;12;5,513;35582,541;28545;53395;1;NA;NA;"10_29_2019"
"575";"38";2;12;7,215;34723,022;20110;65535;1;NA;NA;"10_29_2019"
"576";"38";1;12;4,901;35342,481;30947;57229;1;NA;NA;"10_29_2019"
"577";"Bt63";2;1;0,486;20645,309;18175;31830;0;NA;NA;"10_29_2019"
"578";"Bt63";1;1;0,332;20063,483;17991;23076;0;NA;NA;"10_29_2019"
"579";"48";2;1;0,402;20419,144;18585;25268;0;NA;NA;"10_29_2019"
"580";"48";1;1;NA;NA;NA;NA;0;NA;NA;"10_29_2019"
"581";"Kn99";2;1;1,05;19920,62;16756;24633;0;NA;NA;"10_29_2019"
"582";"Kn99";1;1;0,189;21034,098;18255;24899;0;NA;NA;"10_29_2019"
"583";"Bt22";2;1;0,374;20428,845;18936;24360;0;NA;NA;"10_29_2019"
"584";"Bt22";1;1;0,508;20312,129;17912;25539;0;NA;NA;"10_29_2019"
"585";"Ftc555";2;1;0,633;20529,555;18277;22851;0;NA;NA;"10_29_2019"
"586";"Ftc555";1;1;0,363;20762,579;18499;22950;0;NA;NA;"10_29_2019"
"587";"Bt63";2;2;0,423;20494,258;18059;29550;0;NA;NA;"10_29_2019"
"588";"Bt63";1;2;0,256;19278,804;18009;25476;0;NA;NA;"10_29_2019"
"589";"48";2;2;0,4;20073,554;18436;25710;0;NA;NA;"10_29_2019"
"590";"48";1;2;NA;NA;NA;NA;0;NA;NA;"10_29_2019"
"591";"Kn99";2;2;1,058;20485,163;55;65534;0;NA;NA;"10_29_2019"
"592";"Kn99";1;2;0,174;21355,3;24;65453;0;NA;NA;"10_29_2019"
"593";"Bt22";2;2;0,34;21002,998;71;65465;0;NA;NA;"10_29_2019"
"594";"Bt22";1;2;0,413;20713,789;27;65533;0;NA;NA;"10_29_2019"
"595";"Ftc555";2;2;0,615;20395,646;18007;25338;0;NA;NA;"10_29_2019"
"596";"Ftc555";1;2;0,374;20432,184;18383;26310;0;NA;NA;"10_29_2019"
"597";"Bt63";2;3;0,298;19816,558;18169;30396;0;NA;NA;"10_29_2019"
"598";"Bt63";1;3;0,278;19070,151;17963;27658;1;NA;NA;"10_29_2019"
"599";"48";2;3;0,235;19484,481;18400;26294;0;NA;NA;"10_29_2019"
"600";"48";1;3;NA;NA;NA;NA;0;NA;NA;"10_29_2019"
"601";"Kn99";2;3;0,992;19751,171;16967;27345;0;NA;NA;"10_29_2019"
"602";"Kn99";1;3;0,213;19350,825;18616;27912;1;NA;NA;"10_29_2019"
"603";"Bt22";2;3;0,376;19099,091;18481;27483;1;NA;NA;"10_29_2019"
"604";"Bt22";1;3;0,562;19295,129;18036;28523;1;NA;NA;"10_29_2019"
"605";"Ftc555";2;3;0,594;20241,62;18143;27044;0;NA;NA;"10_29_2019"
"606";"Ftc555";1;3;0,396;20229,936;18504;27553;0;NA;NA;"10_29_2019"
"607";"Bt63";2;4;0,309;19644,085;17999;30309;0;NA;NA;"10_29_2019"
"608";"Bt63";1;4;0,369;19064,72;18039;26545;1;NA;NA;"10_29_2019"
"609";"48";2;4;0,288;19403,286;18268;26319;1;NA;NA;"10_29_2019"
"610";"48";1;4;NA;NA;NA;NA;0;NA;NA;"10_29_2019"
"611";"Kn99";2;4;1,068;19401,158;17086;27520;0;NA;NA;"10_29_2019"
"612";"Kn99";1;4;0,294;19893,071;18472;27099;1;NA;NA;"10_29_2019"
"613";"Bt22";2;4;0,447;19035,512;18364;26804;1;NA;NA;"10_29_2019"
"614";"Bt22";1;4;0,647;19130,395;18056;28370;1;NA;NA;"10_29_2019"
"615";"Ftc555";2;4;0,642;19931,193;18083;26852;0;NA;NA;"10_29_2019"
"616";"Ftc555";1;4;0,274;19651,382;18323;27157;1;NA;NA;"10_29_2019"
"617";"Bt63";2;5;0,318;19639,603;17952;31133;0;NA;NA;"10_29_2019"
"618";"Bt63";1;5;0,454;19029,454;16671;27183;1;NA;NA;"10_29_2019"
"619";"48";2;5;0,358;19559,733;18370;25848;1;NA;NA;"10_29_2019"
"620";"48";1;5;NA;NA;NA;NA;0;NA;NA;"10_29_2019"
"621";"Kn99";2;5;1,167;19320,33;16894;27387;1;NA;NA;"10_29_2019"
"622";"Kn99";1;5;0,384;20471,822;13774;27343;1;NA;NA;"10_29_2019"
"623";"Bt22";2;5;0,533;19048,355;17486;27029;1;NA;NA;"10_29_2019"
"624";"Bt22";1;5;0,767;18943,379;17993;27493;1;NA;NA;"10_29_2019"
"625";"Ftc555";2;5;0,634;19734,365;18020;27297;1;NA;NA;"10_29_2019"
"626";"Ftc555";1;5;0,337;19653,497;18327;26615;1;NA;NA;"10_29_2019"
"627";"Bt63";2;6;0,361;19773,303;18065;31633;0;NA;NA;"10_29_2019"
"628";"Bt63";1;6;0,596;19091,896;16534;25754;1;NA;NA;"10_29_2019"
"629";"48";2;6;0,426;19506,354;18391;25800;1;NA;NA;"10_29_2019"
"630";"48";1;6;NA;NA;NA;NA;0;NA;NA;"10_29_2019"
"631";"Kn99";2;6;1,305;19340,715;15968;27669;0;NA;NA;"10_29_2019"
"632";"Kn99";1;6;0,43;21368,581;18764;26766;0;NA;NA;"10_29_2019"
"633";"Bt22";2;6;0,69;19071,338;17479;27414;1;NA;NA;"10_29_2019"
"634";"Bt22";1;6;0,922;18934,599;18154;26185;1;NA;NA;"10_29_2019"
"635";"Ftc555";2;6;0,746;19732,412;18115;26090;1;NA;NA;"10_29_2019"
"636";"Ftc555";1;6;0,436;19753,284;18294;26811;1;NA;NA;"10_29_2019"
"637";"Bt63";2;7;0,365;36386,546;31794;62358;0;NA;NA;"10_29_2019"
"638";"Bt63";1;7;0,771;34756,81;156;65490;1;NA;NA;"10_29_2019"
"639";"48";2;7;0,503;35501,324;31825;50417;1;NA;NA;"10_29_2019"
"640";"48";1;7;NA;NA;NA;NA;0;NA;NA;"10_29_2019"
"641";"Kn99";2;7;1,422;35295,905;28058;65535;0;NA;NA;"10_29_2019"
"642";"Kn99";1;7;0,528;39825,191;4;65533;0;NA;NA;"10_29_2019"
"643";"Bt22";2;7;0,965;34659,574;31045;52023;1;NA;NA;"10_29_2019"
"644";"Bt22";1;7;1,143;34374,914;31337;54529;1;NA;NA;"10_29_2019"
"645";"Ftc555";2;7;0,842;35973,85;59;65534;1;NA;NA;"10_29_2019"
"646";"Ftc555";1;7;0,561;36138,408;31659;52518;0;NA;NA;"10_29_2019"
"647";"Bt63";2;8;0,395;36690,981;31689;61678;0;NA;NA;"10_29_2019"
"648";"Bt63";1;8;0,982;34839,919;29140;49947;1;NA;NA;"10_29_2019"
"649";"48";2;8;0,604;35798,645;31927;50826;0;NA;NA;"10_29_2019"
"650";"48";1;8;NA;NA;NA;NA;0;NA;NA;"10_29_2019"
"651";"Kn99";2;8;1,661;35516,502;27551;65535;0;NA;NA;"10_29_2019"
"652";"Kn99";1;8;0,563;41385,096;35963;46653;0;NA;NA;"10_29_2019"
