"";"Strains";"Replicate";"Day";"Area";"Mean";"Min";"Max";"cleared";"plate_coverage";"age";"date"
"66";"35";1;6;0,429;19610,626;3;65534;1;NA;NA;"10_29_2019"
"67";"34";2;6;0,563;20552,77;3;65530;1;NA;NA;"10_29_2019"
"68";"34";1;6;0,311;21028,826;24;65534;0;NA;NA;"10_29_2019"
"69";"37";2;6;0,563;19285,201;18532;24341;1;NA;NA;"10_29_2019"
"70";"37";1;6;0,534;19371,137;18497;26890;1;NA;NA;"10_29_2019"
"71";"36";2;6;0,78;18975,506;18068;26627;1;NA;NA;"10_29_2019"
"72";"36";1;6;0,526;19557,601;18461;26155;1;NA;NA;"10_29_2019"
"73";"33";2;7;2,478;18842,437;16531;26925;1;NA;NA;"10_29_2019"
"74";"33";1;7;0,289;20289,907;18573;30682;0;NA;NA;"10_29_2019"
"75";"32";2;7;2,062;18747,977;18144;26229;1;NA;NA;"10_29_2019"
"76";"32";1;7;1,507;19214,762;18473;27412;1;NA;NA;"10_29_2019"
"77";"35";2;7;0,484;18877,721;17959;24753;1;NA;NA;"10_29_2019"
"78";"35";1;7;0,491;18892,604;18268;28926;1;NA;NA;"10_29_2019"
"79";"34";2;7;0,709;19454,025;18291;24967;1;NA;NA;"10_29_2019"
"80";"34";1;7;0,33;19959,766;18886;26121;0;NA;NA;"10_29_2019"
"81";"37";2;7;0,743;19171,937;18301;25370;1;NA;NA;"10_29_2019"
"82";"37";1;7;0,633;19315,099;18311;27298;1;NA;NA;"10_29_2019"
"83";"36";2;7;0,9;18822,321;17967;26781;1;NA;NA;"10_29_2019"
"84";"36";1;7;0,605;19473,077;18353;27390;1;NA;NA;"10_29_2019"
"85";"33";2;8;3,753;34446,741;156;65535;1;NA;NA;"10_29_2019"
"86";"33";1;8;0,321;37827,144;32128;61028;0;NA;NA;"10_29_2019"
"87";"32";2;8;3,251;34085,032;232;65110;1;NA;NA;"10_29_2019"
"88";"32";1;8;2,357;35179,305;116;65505;1;NA;NA;"10_29_2019"
"89";"35";2;8;0,539;34399,725;31419;63042;1;NA;NA;"10_29_2019"
"90";"35";1;8;0,56;34291,899;30974;56770;1;NA;NA;"10_29_2019"
"91";"34";2;8;0,884;35497,284;32117;48483;1;NA;NA;"10_29_2019"
"92";"34";1;8;0,335;36641,206;32624;49420;0;NA;NA;"10_29_2019"
"93";"37";2;8;1,002;35271,52;31620;55366;1;NA;NA;"10_29_2019"
"94";"37";1;8;0,742;35236,385;31295;50842;1;NA;NA;"10_29_2019"
"95";"36";2;8;1,038;34331,079;30817;50627;1;NA;NA;"10_29_2019"
"96";"36";1;8;0,69;35485,1;26007;53276;1;NA;NA;"10_29_2019"
"97";"33";2;9;5,332;34460,625;28164;65535;1;NA;NA;"10_29_2019"
"98";"33";1;9;0,418;37704,013;32259;59586;0;NA;NA;"10_29_2019"
"99";"32";2;9;4,79;33993,418;26800;50543;1;NA;NA;"10_29_2019"
"100";"32";1;9;3,613;35136,971;26713;65535;1;NA;NA;"10_29_2019"
"101";"35";2;9;0,651;34410,047;31252;63237;1;NA;NA;"10_29_2019"
"102";"35";1;9;0,663;34501,266;31017;53453;1;NA;NA;"10_29_2019"
"103";"34";2;9;1,16;35643,632;31365;50984;1;NA;NA;"10_29_2019"
"104";"34";1;9;0,337;36978,072;32142;49266;0;NA;NA;"10_29_2019"
"105";"37";2;9;1,355;35370,565;31391;62333;1;NA;NA;"10_29_2019"
"106";"37";1;9;0,907;35370,785;31836;52424;1;NA;NA;"10_29_2019"
"107";"36";2;9;1,426;34660,779;30835;53360;1;NA;NA;"10_29_2019"
"108";"36";1;9;0,871;35873,718;27595;54269;1;NA;NA;"10_29_2019"
"109";"33";2;10;6,712;34486,823;27230;53142;1;NA;NA;"10_29_2019"
"110";"33";1;10;0,461;38041,524;32028;65535;0;NA;NA;"10_29_2019"
"111";"32";2;10;6,3;33817,752;25738;65535;1;NA;NA;"10_29_2019"
"112";"32";1;10;4,861;34957,56;26242;62648;1;NA;NA;"10_29_2019"
"113";"35";2;10;0,743;34454,19;31104;47189;1;NA;NA;"10_29_2019"
"114";"35";1;10;0,763;34626,588;31266;51948;1;NA;NA;"10_29_2019"
"115";"34";2;10;1,456;35808,673;29865;47512;1;NA;NA;"10_29_2019"
"116";"34";1;10;0,338;37126,076;32986;49024;0;NA;NA;"10_29_2019"
"117";"37";2;10;1,721;35529,935;29935;56428;1;NA;NA;"10_29_2019"
"118";"37";1;10;1,042;35260,023;31888;53924;1;NA;NA;"10_29_2019"
"119";"36";2;10;1,628;34647,022;30931;52690;1;NA;NA;"10_29_2019"
"120";"36";1;10;0,921;35705,447;31955;54535;1;NA;NA;"10_29_2019"
"121";"33";2;11;7,603;34846,527;13829;65535;1;NA;NA;"10_29_2019"
"122";"33";1;11;0,491;37874,744;31902;60996;0;NA;NA;"10_29_2019"
"123";"32";2;11;7,377;33841,875;21865;65535;1;NA;NA;"10_29_2019"
"124";"32";1;11;6,207;35144,49;27728;64247;1;NA;NA;"10_29_2019"
"125";"35";2;11;0,823;34199,067;30792;65535;1;NA;NA;"10_29_2019"
"126";"35";1;11;0,858;34622,411;31019;51435;1;NA;NA;"10_29_2019"
"127";"34";2;11;1,799;35928,357;31281;51326;1;NA;NA;"10_29_2019"
"128";"34";1;11;0,329;37361,227;32727;47819;0;NA;NA;"10_29_2019"
"129";"37";2;11;2,155;35586,327;28626;65535;1;NA;NA;"10_29_2019"
"130";"37";1;11;1,205;35325,24;31656;51794;1;NA;NA;"10_29_2019"
"131";"36";2;11;1,764;34708,656;30661;54433;1;NA;NA;"10_29_2019"
"132";"36";1;11;1,296;36305,354;30197;55661;1;NA;NA;"10_29_2019"
