Strain,Replicate,Stack,passage,plate,Area.1,Area.12
B880,2,3,4,2_2-1_2_firsthalf,1.1419332000000002,9.116110800000003
B886,1,2,10,p2_1,1.2838684000000002,11.438686800000001
B886,2,5,4,2_2-1_2_firsthalf,0.40645079999999995,3.999992
B886,3,3,9,2_3-1_3_secondhalf,0.999998,0.06451600000000006
B886_cor,1,2,10,p2_1,4.6709584,10.232237600000001
B886_cor,2,1,5,2_2-1_2_secondhalf,1.4580616,10.619333600000001
B887,1,4,10,p2_1,0.7225792000000001,34.683801599999995
B887,2,2,5,2_2-1_2_secondhalf,0.6967728000000002,31.890258800000005
B887,3,5,7,2_3-1_3_firsthalf,1.4193520000000002,18.2064152
B887_cor,1,1,10,p2_1,0.6258052000000001,23.5935012
B887_cor,2,3,5,2_2-1_2_secondhalf,1.2064492000000002,4.722571200000002
B887_cor,3,3,9,2_3-1_3_secondhalf,0.8838692,4.5548296
B888_cor,2,5,5,2_2-1_2_secondhalf,1.4580616,9.645142
B889,2,5,5,2_2-1_2_secondhalf,1.1096752,13.496747199999996
B890,1,3,10,p2_1,3.6645088000000006,25.193497999999998
B890,2,2,4,2_2-1_2_firsthalf,1.0580624,11.793524800000002
B890_cor,1,3,11,p1_1,0.8838692,8.290306
B890_cor,2,4,5,2_2-1_2_secondhalf,0.8193532,6.580632
B890_cor,3,4,9,2_3-1_3_secondhalf,1.0967720000000003,2.8387039999999994
B892,1,3,10,p2_1,0.6451600000000001,13.948359199999997
B892_cor,2,2,4,2_2-1_2_firsthalf,1.4064488000000004,28.0386536
B892_cor,3,2,9,2_3-1_3_secondhalf,1.9548347999999998,14.980615200000003
B896,2,3,4,2_2-1_2_firsthalf,5.825794800000001,6.290309999999999
B896,3,1,9,2_3-1_3_secondhalf,4.729022799999999,0.5225795999999998
B896_cor,1,3,11,p1_1,0.8645144000000002,16.129000000000005
B896_cor,2,2,4,2_2-1_2_firsthalf,1.1483847999999999,16.858030800000005
B896_cor,3,4,9,2_3-1_3_secondhalf,0.8967724000000002,9.2128848
B898,1,5,10,p2_1,4.7612808000000015,9.206433200000001
B898_cor,1,2,11,p1_1,1.3612876000000003,25.432207199999993
B898_cor,3,2,7,2_3-1_3_firsthalf,1.0580624,17.464481199999998
B901,1,4,10,p2_1,0.5548375999999999,38.65153560000001
B901,2,1,4,2_2-1_2_firsthalf,0.7870952000000001,17.890286800000005
B901_cor,1,2,11,p1_1,1.4064488000000004,40.7870152
B901_cor,2,5,4,2_2-1_2_firsthalf,0.999998,27.328977599999998
B901_cor,3,1,9,2_3-1_3_secondhalf,1.3806424000000002,21.083828800000003
B905,1,1,11,p1_1,0.6580632000000001,27.187042400000003
B905,2,4,4,2_2-1_2_firsthalf,0.5419343999999999,5.606440400000001
B906,1,4,10,p2_1,0.7161275999999999,23.735436400000005
B906,2,1,4,2_2-1_2_firsthalf,0.7225792000000001,14.896744400000003
B906,3,2,7,2_3-1_3_firsthalf,0.5419343999999999,6.619341600000003
B906_cor,2,5,5,2_2-1_2_secondhalf,0.9483851999999999,14.283842400000006
B906_cor,3,1,9,2_3-1_3_secondhalf,1.3290296,8.877401600000002
B908,1,2,10,p2_1,0.8580628000000001,26.419302000000002
B908,2,4,5,2_2-1_2_secondhalf,0.5354827999999999,1.8838671999999996
B908_cor,1,3,11,p1_1,4.787087200000001,15.509646400000001
B908_cor,2,5,4,2_2-1_2_firsthalf,5.4386988,3.1225743999999995
B908_cor,3,2,7,2_3-1_3_firsthalf,1.3935455999999997,53.68376360000002
B926,1,4,11,p1_1,3.9806372,11.645138000000001
B926,2,5,4,2_2-1_2_firsthalf,2.8516072000000006,3.1225743999999995
B926,3,1,7,2_3-1_3_firsthalf,5.754827199999999,6.3096648
B927,1,4,11,p1_1,1.1032236000000002,21.116086799999998
B927,2,1,5,2_2-1_2_secondhalf,1.6193515999999997,3.9741856000000007
B929,1,5,10,p2_1,3.419348,2.8128976
B929,2,3,5,2_2-1_2_secondhalf,0.96774,32.19348399999999
B929,3,1,9,2_3-1_3_secondhalf,1.064514,4.367733199999998
B930,1,4,10,p2_1,4.387088000000001,13.193522000000002
B930,3,4,9,2_3-1_3_secondhalf,1.1999976,3.1935420000000008
B932,1,4,11,p1_1,0.37419280000000005,14.232229600000002
B950,2,2,5,2_2-1_2_secondhalf,1.1870944,4.9548288
B952,2,2,5,2_2-1_2_secondhalf,0.5612891999999999,14.387068000000001
B952,3,2,9,2_3-1_3_secondhalf,0.9935464000000002,14.6193256
B956,1,3,11,p1_1,0.8774176,19.2064132
B956,2,5,5,2_2-1_2_secondhalf,1.0129012,21.9225368
B956,3,3,9,2_3-1_3_secondhalf,3.8193472,16.032226
B960,1,1,10,p2_1,1.7290288,45.999908000000005
B960,2,2,5,2_2-1_2_secondhalf,1.9032219999999995,12.4128784
B960,3,4,7,2_3-1_3_firsthalf,1.8967703999999992,12.2064272
B960_cor,1,4,11,p1_1,0.38064439999999994,5.580633999999999
B960_cor,2,5,5,2_2-1_2_secondhalf,2.5225756,11.567718800000002
