Strain,Replicate,Day,Area,Mean,Min,Max,,stack_position,stack,stack_size,group,run,issues,passage
119,2,1,0.63,20120.573,17271,24351,,11,2,12,p3,2,,8
119,1,1,0.332,20007.628,17208,26765,,12,2,12,p3,2,,8
112,3,1,0.438,21195.127,18057,27017,,1,3,12,p3,2,,8
112,2,1,0.569,21416.11,18885,25488,,2,3,12,p3,2,,8
112,1,1,0.433,21388.574,18491,26882,,3,3,12,p3,2,,8
128,3,1,0.253,22229.107,19656,26508,,4,3,12,p3,2,,8
128,2,1,0.338,20428.162,17529,24378,,5,3,12,p3,2,,8
128,1,1,0.307,20077.715,17471,23478,,6,3,12,p3,2,,8
140,3,1,0.494,20419.973,17715,33272,,7,3,12,p3,2,,8
140,2,1,0.255,19989.599,18313,27678,,8,3,12,p3,2,,8
140,1,1,0.324,20304.144,17428,27697,,9,3,12,p3,2,,8
139,3,1,0.236,20124.953,17931,22389,,10,3,12,p3,2,,8
139,2,1,0.262,20609.438,18183,24004,,11,3,12,p3,2,,8
139,1,1,0.345,20211.12,17587,23730,,12,3,12,p3,2,,8
Ftc555,3,1,0.312,19884.064,17890,22781,,1,4,12,p3,2,,8
Ftc555,2,1,0.454,20302.973,17455,23515,,2,4,12,p3,2,,8
Ftc555,1,1,0.306,19972.05,17633,25733,,3,4,12,p3,2,,8
KN99,3,1,0.81,20155.421,17040,31285,,4,4,12,p3,2,,8
KN99,2,1,0.553,20586.041,17469,25840,,5,4,12,p3,2,yes,8
KN99,1,1,0.937,19965.361,16837,26451,,6,4,12,p3,2,,8
Bt22,3,1,0.273,19596.357,17804,25485,,7,4,12,p3,2,,8
Bt22,2,1,0.444,19832.597,17313,30641,,8,4,12,p3,2,,8
Bt22,1,1,0.324,19574.597,17559,23318,,9,4,12,p3,2,,8
124,3,1,0.395,20071.137,17423,25854,,10,4,12,p3,2,,8
124,2,1,0.267,19417.154,17155,24544,,11,4,12,p3,2,,8
124,1,1,0.523,19809.944,17122,29216,,12,4,12,p3,2,,8
143,3,1,0.499,21140.423,18649,26351,,1,5,12,p3,2,,8
143,2,1,0.3,21630.885,19325,24389,,2,5,12,p3,2,,8
143,1,1,0.473,20283.951,16914,24312,,3,5,12,p3,2,,8
135,3,1,0.399,20740.62,17586,27446,,4,5,12,p3,2,,8
135,2,1,0.446,20390.206,17462,25983,,5,5,12,p3,2,,8
135,1,1,0.494,20633.472,17297,27112,,6,5,12,p3,2,,8
131,3,1,0.299,20169.074,16591,32640,,7,5,12,p3,2,,8
131,2,1,0.355,20211.591,16854,26292,,8,5,12,p3,2,,8
131,1,1,0.393,19989.023,16846,23014,,9,5,12,p3,2,,8
117,3,1,0.458,20481.995,16954,26342,,10,5,12,p3,2,,8
117,2,1,0.328,19840.533,17473,25756,,11,5,12,p3,2,,8
117,1,1,0.385,20099.238,16757,26605,,12,5,12,p3,2,,8
145,3,1,0.329,20415.86,17499,25752,,1,6,12,p3,2,,8
145,2,1,0.371,20101.88,17573,25510,,2,6,12,p3,2,,8
145,1,1,0.356,20512.901,17291,26575,,3,6,12,p3,2,,8
146,3,1,0.317,19806.162,17727,26348,,4,6,12,p3,2,,8
146,2,1,0.361,20227.167,17420,25646,,5,6,12,p3,2,,8
146,1,1,0.386,19286.098,17412,26934,,6,6,12,p3,2,,8
141,3,1,0.448,20253.217,17475,34336,,7,6,12,p3,2,,8
141,2,1,0.391,19770.967,17225,27351,,8,6,12,p3,2,,8
141,1,1,0.426,20349.144,17416,27606,,9,6,12,p3,2,,8
150,3,1,0.303,19581.652,17494,24350,,10,6,12,p3,2,,8
150,2,1,0.414,20188.616,17527,29501,,11,6,12,p3,2,,8
150,1,1,0.335,19674.582,17526,23114,,12,6,12,p3,2,,8
105,3,1,0.335,20412.002,17370,27143,,1,7,9,p3,2,,8
105,2,1,0.319,20487.403,18063,25520,,2,7,9,p3,2,,8
105,1,1,0.356,20501.486,17775,26314,,3,7,9,p3,2,,8
134,3,1,0.372,20182.731,17076,23824,,4,7,9,p3,2,,8
134,2,1,0.431,20713.636,17503,26714,,5,7,9,p3,2,,8
134,1,1,0.282,20181.642,18294,23035,,6,7,9,p3,2,,8
151,3,1,0.406,20118.826,17443,26508,,7,7,9,p3,2,,8
151,2,1,0.222,18995.173,17567,22471,,8,7,9,p3,2,,8
151,1,1,0.289,20055.387,17793,26446,,9,7,9,p3,2,,8
KN99,3,1,0.886,20661.634,17658,29593,,1,1,6,p2,1,,9
KN99,2,1,0.88,20850.188,17800,25948,,2,1,6,p2,1,,9
KN99,1,1,0.364,20793.978,17816,26838,,3,1,6,p2,1,,9
Ftc555,3,1,0.41,20456.951,17901,34414,,4,1,6,p2,1,,9
Ftc555,2,1,0.559,20485.59,17285,25780,,5,1,6,p2,1,,9
Ftc555,1,1,0.366,20435.416,17814,23549,,6,1,6,p2,1,,9
81,3,1,0.29,20890.11,18591,23877,,1,2,12,p2,1,,9
81,2,1,0.435,20829.549,18269,23522,,2,2,12,p2,1,,9
81,1,1,0.342,20047.687,17339,22225,,3,2,12,p2,1,,9
54,3,1,0.33,20149.113,17499,39511,,4,2,12,p2,1,,9
54,2,1,0.447,19952.489,17212,26432,,5,2,12,p2,1,,9
54,1,1,0.421,20083.913,17633,24133,,6,2,12,p2,1,,9
74,3,1,0.285,19131.125,17455,33869,,7,2,12,p2,1,,9
74,2,1,0.499,19674.788,17128,24737,,8,2,12,p2,1,,9
74,1,1,0.309,19539.313,16761,24672,,9,2,12,p2,1,,9
75,3,1,0.367,19823.638,16563,23316,,10,2,12,p2,1,,9
75,2,1,0.272,19396.237,17566,22592,,11,2,12,p2,1,,9
75,1,1,0.434,19737.143,17288,25025,,12,2,12,p2,1,,9
96,3,1,0.361,20743.547,17917,26052,,1,3,12,p2,1,,9
96,2,1,0.281,19972.883,18316,21805,,2,3,12,p2,1,,9
96,1,1,0.279,20467.337,17916,25687,,3,3,12,p2,1,,9
57,3,1,0.268,20161.575,18421,22716,,4,3,12,p2,1,,9
57,2,1,0.326,20405.899,18078,26250,,5,3,12,p2,1,,9
57,1,1,0.647,20361.994,17288,26998,,6,3,12,p2,1,,9
99,3,1,0.506,20325.657,17501,31307,,7,3,12,p2,1,,9
99,2,1,0.327,19852.432,17691,23240,,8,3,12,p2,1,,9
99,1,1,0.301,20385.05,17855,23952,,9,3,12,p2,1,,9
58,3,1,0.329,19952.575,16663,26349,,10,3,12,p2,1,,9
58,2,1,0.749,20538.493,16968,29639,,11,3,12,p2,1,,9
58,1,1,0.753,19884.339,16832,26289,,12,3,12,p2,1,,9
97,3,1,0.456,20307.757,17888,25322,,1,4,12,p2,1,,9
97,2,1,0.281,20059.327,18235,24830,,2,4,12,p2,1,,9
97,1,1,0.482,20351.241,17928,37162,,3,4,12,p2,1,,9
71,3,1,0.325,19436.75,17783,24779,,4,4,12,p2,1,,9
71,2,1,0.385,20039.094,17877,26710,,5,4,12,p2,1,,9
71,1,1,0.288,20063.646,18228,23478,,6,4,12,p2,1,,9
101,3,1,0.427,20463.506,17740,31085,,7,4,12,p2,1,,9
101,2,1,0.606,20310.883,15799,26878,,8,4,12,p2,1,,9
101,1,1,0.365,20334.945,17714,24718,,9,4,12,p2,1,,9
92,3,1,0.698,20107.111,17214,27822,,10,4,12,p2,1,,9
92,2,1,0.421,20132.191,17334,32164,,11,4,12,p2,1,,9
92,1,1,0.49,20233.047,17321,28148,,12,4,12,p2,1,,9
53,3,1,0.285,20038.045,18036,24112,,1,5,12,p2,1,,9
53,2,1,0.477,20646.618,17717,25849,,2,5,12,p2,1,,9
53,1,1,0.271,20324.451,18329,24034,,3,5,12,p2,1,,9
76,3,1,0.422,20597.542,17888,28934,,4,5,12,p2,1,,9
76,2,1,0.275,20576.588,18281,24165,,5,5,12,p2,1,,9
76,1,1,0.368,20402.937,17783,24024,,6,5,12,p2,1,,9
93,3,1,0.499,20124.695,17402,32777,,7,5,12,p2,1,,9
93,2,1,0.484,20231.785,14187,27523,,8,5,12,p2,1,,9
93,1,1,0.722,20228.121,17231,26278,,9,5,12,p2,1,,9
60,3,1,0.264,20017.246,17678,30340,,10,5,12,p2,1,,9
60,2,1,0.341,20403.902,18049,30573,,11,5,12,p2,1,,9
60,1,1,0.315,19944.576,17366,23232,,12,5,12,p2,1,,9
94,3,1,0.395,20413.653,17875,24392,,1,6,12,p2,1,,9
94,2,1,0.259,20186.472,18001,23310,,2,6,12,p2,1,,9
94,1,1,0.414,20532.693,17767,23342,,3,6,12,p2,1,,9
84,3,1,0.297,19368.933,17548,22422,,4,6,12,p2,1,,9
84,2,1,0.438,20222.969,17979,25215,,5,6,12,p2,1,,9
84,1,1,0.273,19626.584,18113,23413,,6,6,12,p2,1,,9
79,3,1,0.501,20196.189,17960,26002,,7,6,12,p2,1,,9
79,2,1,0.289,19145.816,17163,25275,,8,6,12,p2,1,,9
79,1,1,0.441,20110.656,17612,25846,,9,6,12,p2,1,,9
82,3,1,0.445,20445.326,14589,26675,,10,6,12,p2,1,,9
82,2,1,0.371,19826.722,17359,27688,,11,6,12,p2,1,,9
82,1,1,0.662,20339.676,17108,31528,,12,6,12,p2,1,,9
85,3,1,0.37,20143.713,18067,24707,,1,7,12,p2,1,,9
85,2,1,0.257,19860.223,17915,24191,,2,7,12,p2,1,,9
85,1,1,0.415,20394.706,18080,24049,,3,7,12,p2,1,,9
86,3,1,0.291,20351.817,18148,22856,,4,7,12,p2,1,,9
86,2,1,0.516,20451.919,17692,26001,,5,7,12,p2,1,,9
86,1,1,0.254,20094.078,17926,24637,,6,7,12,p2,1,,9
83,3,1,0.458,19834.191,17184,23686,,7,7,12,p2,1,,9
83,2,1,0.487,19758.081,15935,25186,,8,7,12,p2,1,,9
83,1,1,0.372,19779.228,17709,24016,,9,7,12,p2,1,,9
72,3,1,0.446,19911.622,16530,26697,,10,7,12,p2,1,,9
72,2,1,0.306,19491.637,17382,24290,,11,7,12,p2,1,,9
72,1,1,0.559,20036.546,17250,31253,,12,7,12,p2,1,,9
62,3,1,0.404,20248.938,17890,25753,,1,8,12,p2,1,,9
62,2,1,0.289,19767.277,18056,23349,,2,8,12,p2,1,,9
62,1,1,0.654,20450.69,17363,27893,,3,8,12,p2,1,,9
64,3,1,0.486,20393.784,17711,24363,,4,8,12,p2,1,,9
64,2,1,0.3,20027.843,17521,24202,,5,8,12,p2,1,,9
64,1,1,0.639,20410.745,17898,26191,,6,8,12,p2,1,,9
90,3,1,0.283,20264.934,18286,28966,,7,8,12,p2,1,,9
90,2,1,0.405,20318.935,17574,24175,,8,8,12,p2,1,,9
90,1,1,0.308,20291.054,17962,25598,,9,8,12,p2,1,,9
98,3,1,0.328,20099.876,17231,24241,,10,8,12,p2,1,,9
98,2,1,0.56,20686.656,17458,31730,,11,8,12,p2,1,,9
98,1,1,0.488,20399.337,17418,24743,,12,8,12,p2,1,,9
91,3,1,0.385,20033.637,17441,24274,,1,9,12,p2,1,,9
91,2,1,0.288,19666.567,17673,24591,,2,9,12,p2,1,,9
91,1,1,0.486,19812.372,17242,28833,,3,9,12,p2,1,,9
73,3,1,0.27,19668.171,17778,22862,,4,9,12,p2,1,,9
73,2,1,0.411,20089.726,17514,27982,,5,9,12,p2,1,,9
73,1,1,0.338,19610.953,17562,23237,,6,9,12,p2,1,,9
56,3,1,0.406,19928.667,17527,27390,,7,9,12,p2,1,,9
56,2,1,0.523,20395.477,17502,24078,,8,9,12,p2,1,,9
56,1,1,0.469,20087.114,16992,25669,,9,9,12,p2,1,,9
70,3,1,0.371,20048.535,17762,25168,,10,9,12,p2,1,,9
70,2,1,0.474,19893.594,17163,30260,,11,9,12,p2,1,,9
70,1,1,0.384,19837.65,17113,24685,,12,9,12,p2,1,,9
52,3,1,0.267,19604.665,17756,24785,,1,10,12,p2,1,,9
52,2,1,0.483,20523.194,17537,25422,,2,10,12,p2,1,,9
52,1,1,0.273,19779.902,18134,23422,,3,10,12,p2,1,,9
61,3,1,0.405,20367.679,18105,26833,,4,10,12,p2,1,,9
61,2,1,0.263,19632.66,17743,23482,,5,10,12,p2,1,,9
61,1,1,0.437,20129.823,17188,24656,,6,10,12,p2,1,,9
66,3,1,0.291,19717.442,17816,24446,,7,10,12,p2,1,,9
66,2,1,0.373,20035.226,15568,27206,,8,10,12,p2,1,,9
66,1,1,0.382,19842.905,16919,25284,,9,10,12,p2,1,,9
Bt22,3,1,0.417,20377.44,17291,23831,,10,10,12,p2,1,,9
Bt22,2,1,0.343,20380.25,17652,31041,,11,10,12,p2,1,,9
Bt22,1,1,0.376,20535.983,17836,24670,,12,10,12,p2,1,,9
55,3,1,0.266,19608.081,17756,24785,,1,11,12,p2,1,,9
55,2,1,0.489,20523.524,17537,29881,,2,11,12,p2,1,,9
55,1,1,0.281,19800.736,18134,23422,,3,11,12,p2,1,,9
65,3,1,0.404,20361.511,18105,26833,,4,11,12,p2,1,,9
65,2,1,0.264,19627.32,17743,23482,,5,11,12,p2,1,,9
65,1,1,0.439,20126.512,17581,24656,,6,11,12,p2,1,,9
100,3,1,0.296,19726.966,17816,24446,,7,11,12,p2,1,,9
100,2,1,0.38,20040.386,15568,27206,,8,11,12,p2,1,,9
100,1,1,0.374,19832.861,16919,25284,,9,11,12,p2,1,,9
63,3,1,0.403,20390.553,17563,23831,,10,11,12,p2,1,,9
63,2,1,0.332,20388.645,18005,31041,,11,11,12,p2,1,,9
63,1,1,0.372,20540.541,17836,24670,,12,11,12,p2,1,,9
77,3,1,0.276,20332.981,18224,23780,,1,12,12,p2,1,,9
77,2,1,0.347,20130.093,17879,24003,,2,12,12,p2,1,,9
77,1,1,0.27,19929.918,17895,23045,,3,12,12,p2,1,,9
68,3,1,0.378,20231.986,17999,27802,,4,12,12,p2,1,,9
68,2,1,0.246,20145.232,18101,22560,,5,12,12,p2,1,,9
68,1,1,0.375,20623.122,17962,25729,,6,12,12,p2,1,,9
95,3,1,0.273,19869.987,17718,23726,,7,12,12,p2,1,,9
95,2,1,0.374,20196.356,16643,26419,,8,12,12,p2,1,,9
95,1,1,0.659,20337.953,17224,27467,,9,12,12,p2,1,,9
69,3,1,0.437,20413.545,17656,26318,,10,12,12,p2,1,,9
69,2,1,0.306,20365.373,17610,31799,,11,12,12,p2,1,,9
69,1,1,0.695,20431.829,17126,28956,,12,12,12,p2,1,,9
102,3,1,0.286,20252.794,17710,24457,,1,13,12,p2,1,,9
102,2,1,0.641,20684.619,17561,24687,,2,13,12,p2,1,,9
102,1,1,0.311,20477.788,18150,23163,,3,13,12,p2,1,,9
59,3,1,0.741,20421.324,17278,27832,,4,13,12,p2,1,,9
59,2,1,0.29,19666.259,17994,23490,,5,13,12,p2,1,,9
59,1,1,0.533,20206.135,18011,26806,,6,13,12,p2,1,,9
89,3,1,0.391,20410.398,18032,30525,,7,13,12,p2,1,,9
89,2,1,0.538,20360.65,16315,26962,,8,13,12,p2,1,,9
89,1,1,0.277,19954.189,17517,23217,,9,13,12,p2,1,,9
58,3,1,0.311,19646.719,17297,23555,,10,13,12,p2,1,,9
58,2,1,0.766,20332.757,16840,32026,,11,13,12,p2,1,,9
58,1,1,0.469,20011.749,16912,23517,,12,13,12,p2,1,,9
67,3,1,0.322,19987.986,18075,24435,,1,14,12,p2,1,,9
67,2,1,0.48,20573.552,17326,26070,,2,14,12,p2,1,,9
67,1,1,0.303,20439.952,18480,23239,,3,14,12,p2,1,,9
80,3,1,0.554,20461.069,17505,29831,,4,14,12,p2,1,,9
80,2,1,0.28,19862.148,17266,23186,,5,14,12,p2,1,,9
80,1,1,0.559,20258.73,17032,28174,,6,14,12,p2,1,,9
78,3,1,0.344,20214.953,17788,29770,,7,14,12,p2,1,,9
78,2,1,0.446,20705.973,16228,42622,,8,14,12,p2,1,,9
78,1,1,0.356,20260.139,17513,23065,,9,14,12,p2,1,,9
87,3,1,0.356,19767.976,17574,25629,,10,14,12,p2,1,,9
87,2,1,0.428,19503.16,17222,30481,,11,14,12,p2,1,,9
87,1,1,0.585,19873.633,17442,27428,,12,14,12,p2,1,,9
41,3,1,0.478,20435.925,17481,27978,,1,1,12,p1,1,,10
41,2,1,0.313,19764.999,17458,23620,,2,1,12,p1,1,,10
41,1,1,0.377,20163.939,17552,26627,,3,1,12,p1,1,,10
12,3,1,0.518,20264.903,17418,26309,,4,1,12,p1,1,,10
12,2,1,0.539,20579.156,17374,25888,,5,1,12,p1,1,,10
12,1,1,0.422,19925.467,16982,23362,,6,1,12,p1,1,,10
14,3,1,0.507,20585.12,17499,29815,,7,1,12,p1,1,,10
14,2,1,0.339,20173.084,17649,23267,,8,1,12,p1,1,,10
14,1,1,0.565,20672.618,17235,24574,,9,1,12,p1,1,,10
39,3,1,0.309,19475.501,17467,23974,,10,1,12,p1,1,,10
39,2,1,0.532,19818.316,17500,27271,,11,1,12,p1,1,,10
39,1,1,0.321,19151.825,17363,23695,,12,1,12,p1,1,,10
51,3,1,0.461,20271.424,16877,25701,,1,2,12,p1,1,,10
51,2,1,0.219,19176.019,17803,23455,,2,2,12,p1,1,,10
51,1,1,0.439,20322.459,17697,26415,,3,2,12,p1,1,,10
48,3,1,0.278,19737.408,17870,22638,,4,2,12,p1,1,,10
48,2,1,0.571,20679.341,17883,26556,,5,2,12,p1,1,,10
48,1,1,0.267,19934.315,18063,22911,,6,2,12,p1,1,,10
43,3,1,0.32,19586.648,17528,30756,,7,2,12,p1,1,,10
43,2,1,0.273,19518.895,17564,22488,,8,2,12,p1,1,,10
43,1,1,0.449,19861.64,17193,27639,,9,2,12,p1,1,,10
23,3,1,0.279,19899.352,17688,24828,,10,2,12,p1,1,,10
23,2,1,0.578,20269.457,17204,27267,,11,2,12,p1,1,,10
23,1,1,0.309,19834.126,17869,23077,,12,2,12,p1,1,,10
3,3,1,0.371,20470.632,17753,24821,,1,3,12,p1,1,,10
3,2,1,0.729,20383.007,17478,25967,,2,3,12,p1,1,,10
3,1,1,0.335,20049.107,17928,30004,,3,3,12,p1,1,,10
21,3,1,0.469,20203.993,17721,24931,,4,3,12,p1,1,,10
21,2,1,0.287,20332.498,18220,23799,,5,3,12,p1,1,,10
21,1,1,0.451,20323.639,18025,26531,,6,3,12,p1,1,,10
13,3,1,0.353,19641.012,16892,29534,,7,3,12,p1,1,,10
13,2,1,0.351,18996.194,16543,28548,,8,3,12,p1,1,,10
13,1,1,0.546,20052.167,17327,27592,,9,3,12,p1,1,,10
50,3,1,0.258,19261.268,17478,24061,,10,3,12,p1,1,,10
50,2,1,0.483,20047.11,17702,25657,,11,3,12,p1,1,,10
50,1,1,0.345,19155.835,16867,25924,,12,3,12,p1,1,,10
9,3,1,0.529,20054.083,17537,27652,,1,4,12,p1,1,,10
9,2,1,0.289,19469.943,17897,22988,,2,4,12,p1,1,,10
9,1,1,0.523,19866.575,17786,27808,,3,4,12,p1,1,,10
Bt22,3,1,0.254,19118.927,17582,22931,,4,4,12,p1,1,,10
Bt22,2,1,0.417,19851.953,17635,25829,,5,4,12,p1,1,,10
Bt22,1,1,0.424,19631.269,17221,25998,,6,4,12,p1,1,,10
KN99,3,1,0.923,20232.74,17049,31718,,7,4,12,p1,1,,10
KN99,2,1,0.288,19277.422,17337,24717,,8,4,12,p1,1,,10
KN99,1,1,0.88,20574.092,17370,29017,,9,4,12,p1,1,,10
Ftc555,3,1,0.313,19754.877,17786,22304,,10,4,12,p1,1,,10
Ftc555,2,1,0.599,20559.761,17289,26146,,11,4,12,p1,1,,10
Ftc555,1,1,0.61,20291.532,17131,25694,,12,4,12,p1,1,,10
36,3,1,0.256,19377.117,17552,27159,,1,5,12,p1,1,,10
36,2,1,0.257,19835.91,18220,23235,,2,5,12,p1,1,,10
36,1,1,0.44,20302.174,17893,29183,,3,5,12,p1,1,,10
30,3,1,0.761,20465.538,17507,33966,,4,5,12,p1,1,,10
30,2,1,0.286,19986.525,17619,22362,,5,5,12,p1,1,,10
30,1,1,0.266,20151.226,17769,24396,,6,5,12,p1,1,,10
40,3,1,0.282,19814.697,17760,23064,,7,5,12,p1,1,,10
40,2,1,0.63,20326.255,17018,27006,,8,5,12,p1,1,,10
40,1,1,0.385,19765.255,17185,25147,,9,5,12,p1,1,,10
31,3,1,0.58,20055.304,16690,26784,,10,5,12,p1,1,,10
31,2,1,0.554,20277.189,17538,24967,,11,5,12,p1,1,,10
31,1,1,0.62,20004.085,16143,27672,,12,5,12,p1,1,,10
10,3,1,0.238,20537.325,18299,22921,,1,6,12,p1,1,,10
10,2,1,0.324,20051.11,17286,23767,,2,6,12,p1,1,,10
10,1,1,0.481,20322.861,17624,26618,,3,6,12,p1,1,,10
46,3,1,0.489,20219.405,17592,28587,,4,6,12,p1,1,,10
46,2,1,0.553,20547.999,17906,24860,,5,6,12,p1,1,,10
46,1,1,0.537,20563.299,17832,24775,,6,6,12,p1,1,,10
42,3,1,0.482,20457.556,17479,31737,,7,6,12,p1,1,,10
42,2,1,0.276,20258.199,18208,24144,,8,6,12,p1,1,,10
42,1,1,0.496,20644.629,17452,23936,,9,6,12,p1,1,,10
28,3,1,0.277,20604.886,18449,22228,,10,6,12,p1,1,,10
28,2,1,0.47,20802.183,17767,27917,,11,6,12,p1,1,,10
28,1,1,0.392,20086.188,17699,22546,,12,6,12,p1,1,,10
22,3,1,0.289,20001.231,18072,24569,,1,7,12,p1,1,,10
22,2,1,0.405,19975.529,17766,25003,,2,7,12,p1,1,,10
22,1,1,0.293,19871.166,17876,29376,,3,7,12,p1,1,,10
33,3,1,0.38,20304.564,17509,27833,,4,7,12,p1,1,,10
33,2,1,0.281,20271.591,18356,23644,,5,7,12,p1,1,,10
33,1,1,0.403,20258.871,17599,24146,,6,7,12,p1,1,,10
26,3,1,0.438,20424.857,17628,29925,,7,7,12,p1,1,,10
26,2,1,0.372,20039.93,17596,24814,,8,7,12,p1,1,,10
26,1,1,0.298,19958.18,17694,23318,,9,7,12,p1,1,,10
17,3,1,0.488,21296.229,18140,27487,,10,7,12,p1,1,,10
17,2,1,0.334,21360.584,18826,26051,,11,7,12,p1,1,,10
17,1,1,0.38,20847.274,18031,27836,,12,7,12,p1,1,,10
45,3,1,0.403,20133.851,17735,25285,,1,8,12,p1,1,,10
45,2,1,0.267,19669.6,17659,23649,,2,8,12,p1,1,,10
45,1,1,0.321,19683.235,17332,24256,,3,8,12,p1,1,,10
27,3,1,0.394,20345.478,17489,26249,,4,8,12,p1,1,,10
27,2,1,0.265,20080.918,17618,22696,,5,8,12,p1,1,,10
27,1,1,0.529,19973.49,16655,24431,,6,8,12,p1,1,,10
19,3,1,0.286,19482.241,17646,22823,,7,8,12,p1,1,,10
19,2,1,0.502,20024.167,17439,26017,,8,8,12,p1,1,,10
19,1,1,0.411,19338.141,16948,23142,,9,8,12,p1,1,,10
18,3,1,0.651,20111.265,16880,27114,,10,8,12,p1,1,,10
18,2,1,0.348,19295.721,17173,23474,,11,8,12,p1,1,,10
18,1,1,0.634,20194.28,17333,24962,,12,8,12,p1,1,,10
8,3,1,0.436,20066.076,17366,26557,,1,9,12,p1,1,,10
8,2,1,0.313,19404.406,17500,24381,,2,9,12,p1,1,,10
8,1,1,0.567,19957.341,17606,23804,,3,9,12,p1,1,,10
6,3,1,0.271,19714.287,17825,22245,,4,9,12,p1,1,,10
6,2,1,0.284,20055.383,17649,24146,,5,9,12,p1,1,,10
6,1,1,0.471,19877.296,16839,23975,,6,9,12,p1,1,,10
16,3,1,0.434,20461.031,17794,23965,,7,9,12,p1,1,,10
16,2,1,0.349,20037.35,17634,23770,,8,9,12,p1,1,,10
16,1,1,0.379,20541.546,17940,24472,,9,9,12,p1,1,,10
11,3,1,0.299,19973.846,17819,23065,,10,9,12,p1,1,,10
11,2,1,0.278,20166.388,17565,23671,,11,9,12,p1,1,,10
11,1,1,0.328,20029.504,17515,24396,,12,9,12,p1,1,,10
5,3,1,0.723,20687.816,16620,27180,,1,10,12,p1,1,,10
5,2,1,0.376,20656.322,17844,23706,,2,10,12,p1,1,,10
5,1,1,0.467,20613.966,17772,29886,,3,10,12,p1,1,,10
44,3,1,0.443,21074.847,17975,27953,,4,10,12,p1,1,,10
44,2,1,0.277,20353.422,18111,25807,,5,10,12,p1,1,,10
44,1,1,0.313,19688.463,17506,24762,,6,10,12,p1,1,,10
35,3,1,0.287,19552.539,17962,23774,,7,10,12,p1,1,,10
35,2,1,0.422,20384.998,17771,25535,,8,10,12,p1,1,,10
35,1,1,0.365,20103.258,17541,24321,,9,10,12,p1,1,,10
49,3,1,0.414,20094.751,17715,24138,,10,10,12,p1,1,,10
49,2,1,0.617,19892.049,17213,23204,,11,10,12,p1,1,,10
49,1,1,0.657,20342.514,17675,27183,,12,10,12,p1,1,,10
15,3,1,0.328,19676.541,17568,25201,,1,11,12,p1,1,,10
15,2,1,0.225,18750.401,17246,22168,,2,11,12,p1,1,,10
15,1,1,0.562,19984.336,17022,28037,,3,11,12,p1,1,,10
4,3,1,0.273,19875.461,17784,22690,,4,11,12,p1,1,,10
4,2,1,0.581,20329.808,16930,26579,,5,11,12,p1,1,,10
4,1,1,0.285,19906.273,17859,24253,,6,11,12,p1,1,,10
29,3,1,0.514,20411.951,17634,24703,,7,11,12,p1,1,,10
29,2,1,0.286,19802.247,17221,24196,,8,11,12,p1,1,,10
29,1,1,0.58,20498.558,17351,24586,,9,11,12,p1,1,,10
38,3,1,0.511,20548.496,17535,23628,,10,11,12,p1,1,,10
38,2,1,0.322,20129.233,17171,22982,,11,11,12,p1,1,,10
38,1,1,0.556,20544.28,17655,28152,,12,11,12,p1,1,,10
2,3,1,0.416,20251.612,17479,24369,,1,12,12,p1,1,,10
2,2,1,0.361,19283.965,17474,25676,,2,12,12,p1,1,,10
2,1,1,0.454,20160.808,17477,25932,,3,12,12,p1,1,,10
7,3,1,0.283,19350.566,17450,23166,,4,12,12,p1,1,,10
7,2,1,0.419,19787.972,17551,25681,,5,12,12,p1,1,,10
7,1,1,0.31,19329.737,17800,22487,,6,12,12,p1,1,,10
47,3,1,0.355,19983.661,17624,26155,,7,12,12,p1,1,,10
47,2,1,0.289,19509.372,17934,23719,,8,12,12,p1,1,,10
47,1,1,0.576,20369.708,17255,26319,,9,12,12,p1,1,,10
20,3,1,0.274,19289.95,17614,25160,,10,12,12,p1,1,,10
20,2,1,0.27,19471.397,17537,22465,,11,12,12,p1,1,,10
20,1,1,0.346,19718.328,17670,24106,,12,12,12,p1,1,,10
24,3,1,1.013,20895.472,17633,47622,,1,13,12,p1,1,,10
24,2,1,0.54,20584.317,17982,23855,,2,13,12,p1,1,,10
24,1,1,0.914,20370.026,17108,27745,,3,13,12,p1,1,,10
32,3,1,0.281,19410.906,17446,23968,,4,13,12,p1,1,,10
32,2,1,0.573,20109.461,16685,27439,,5,13,12,p1,1,,10
32,1,1,0.268,19612.286,17946,24113,,6,13,12,p1,1,,10
37,3,1,0.728,20532.871,17175,28940,,7,13,12,p1,1,,10
37,2,1,0.213,18846.913,17306,26494,,8,13,12,p1,1,,10
37,1,1,0.524,20263.188,16942,29252,,9,13,12,p1,1,,10
25,3,1,0.253,20265.23,17862,24713,,10,13,12,p1,1,,10
25,2,1,0.277,20038.34,17494,25363,,11,13,12,p1,1,,10
25,1,1,0.361,19927.862,17463,26427,,12,13,12,p1,1,,10
34,3,1,0.265,19948.231,17558,25871,,1,14,6,p1,1,,10
34,2,1,0.266,20087.617,17818,22779,,2,14,6,p1,1,,10
34,1,1,0.295,20239.005,17707,22748,,3,14,6,p1,1,,10
1,3,1,0.62,20214.077,17147,24632,,4,14,6,p1,1,,10
1,2,1,0.518,19814.425,16699,25558,,5,14,6,p1,1,,10
1,1,1,0.581,20030.234,16906,26061,,6,14,6,p1,1,yes,10
154,1,12,1.174,19273.24,17365,26404,,1,1,12,p4,1,,12
154,2,12,1.974,18994.779,17188,26126,,2,1,12,p4,1,,12
